Altium Designer Pick and Place Locations
C:\Users\conor\Documents\College\Masters\Thesis\GeecPE2526\Altium\NewPowerElec\GeecPE\Project Outputs for GeecPE\AssemblyData\Pick Place\Pick Place for PowerElec(Assembly Variant).csv

========================================================================================================================
File Design Information:

Date:       12/01/26
Time:       13:51
Revision:   c9e3188db888a0263bc82210b21a16c41c5934f0
Variant:    Assembly Variant
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"LG1","SEM LOGO","BottomLayer","SEM_LOGO-Footprint-1","0,0000mm","0,0000mm","180","SEM Logo Required for Power Electronics"
"LG2","Geec Logo","BottomLayer","Geec_Logo-Footprint-1","0,0000mm","0,0000mm","180",""
"LG2.","Geec Logo","TopLayer","Geec_Logo-Footprint-1","0,0000mm","0,0000mm","0",""
"GND ISO","5001","TopLayer","FP-5001-MFG","19,0000mm","10,7500mm","180","Test Point, Mini, Thm, Pc, .300 L, .100 Od, Heat Resistant Nylon 46, Black"
"5V ISO","5000","TopLayer","FP-5000-MFG","19,0000mm","5,2815mm","180","Cable Wrap, 1/2 Inch, Polyethylene, Natural, 50 Ft, Spirap Series"
"FD2","FID1X2R","TopLayer","FID1X2R","154,0000mm","63,0000mm","90","Fiducial - Round 1x2mm"
"U3","AD8411AWBRZ","TopLayer","SOIC127P600X175-8N","157,6207mm","31,0348mm","180","SP Amp Current Sense Amp Single 5.5V 8-Pin SOIC N Tube Automotive AEC-Q100"
"D1","SS210","TopLayer","DIOM4226X24N","128,2700mm","22,1455mm","180","Rectifier Diode, Schottky, 1 Phase, 1 Element, 2A, 100V V(RRM), Silicon, DO-214AA"
"Q4","IPB014N06NATMA1","TopLayer","INF-PG-TO263-7-1_M","136,6122mm","40,2130mm","90","Power MOSFET, N Channel, 60 V, 180 A, 0.0012 ohm, TO-263 (D2PAK), Surface Mount"
"R23","1206W4F1003T5E","TopLayer","RESC3216X60X45NL15T20","32,6223mm","7,3660mm","90","Fixed Resistor, Metal Glaze/thick Film, 0.25W, 100000ohm, 200V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 1206"
"R22","1206W4F1003T5E","TopLayer","RESC3216X60X45NL15T20","42,1720mm","66,1455mm","270","Fixed Resistor, Metal Glaze/thick Film, 0.25W, 100000ohm, 200V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 1206"
"R20","1206W4F3000T5E","TopLayer","RESC3216X89X51NL25T25","67,4808mm","63,4573mm","0","250mW Thick Film Resistors 200V ±100ppm/? ±1% 300O 1206 Chip Resistor - Surface Mount ROHS"
"R19","0805W8F3901T5E","TopLayer","RESC2013X60X35ML10T20","67,7308mm","60,7533mm","180","Res Thick Film 0805 3.9K Ohm 1% 0.125W(1/8W) ±100ppm/C Pad SMD T/R"
"Q9","BSS138","TopLayer","FAIR-SOT23-3_V","88,1662mm","62,2153mm","180","N-Channel Logic Level Enhancement Mode Field Effect Transistor, 220 mA, 50 V, -55 to 150 degC, 3-Pin SOT-23, RoHS, Tape and Reel"
"Q8","BSS138","TopLayer","FAIR-SOT23-3_V","88,1662mm","58,0065mm","180","N-Channel Logic Level Enhancement Mode Field Effect Transistor, 220 mA, 50 V, -55 to 150 degC, 3-Pin SOT-23, RoHS, Tape and Reel"
"Q7","BSS138","TopLayer","FAIR-SOT23-3_V","88,1662mm","66,4240mm","180","N-Channel Logic Level Enhancement Mode Field Effect Transistor, 220 mA, 50 V, -55 to 150 degC, 3-Pin SOT-23, RoHS, Tape and Reel"
"Q6","BSS138","TopLayer","FAIR-SOT23-3_V","88,1662mm","53,7978mm","180","N-Channel Logic Level Enhancement Mode Field Effect Transistor, 220 mA, 50 V, -55 to 150 degC, 3-Pin SOT-23, RoHS, Tape and Reel"
"FD3","FID1X2R","TopLayer","FID1X2R","5,0000mm","2,5000mm","90","Fiducial - Round 1x2mm"
"FD1","FID1X2R","TopLayer","FID1X2R","5,0000mm","67,5000mm","0","Fiducial - Round 1x2mm"
"DS4","KT-0805G","TopLayer","WL-SMCW_0805_150080xx75000","73,4060mm","65,2780mm","270","-40?~+85? 100mW 120° 2.6V~3.1V 430mcd 513nm~528nm 525nm 5mA Emerald Green 0805 LED Indication - Discrete ROHS"
"DS3","NCD0805R1","TopLayer","Copy_of_WL-SMCW_0805_150080xx75000","77,2160mm","65,4527mm","90","25mA Colorless Transparent Lens 67mcd~195mcd -30?~+85? 615nm~630nm Independent Diode Red 130° 65mW 1.6V~2.6V 0805 LED..."
"DS2","NCD0805R1","TopLayer","Copy_of_WL-SMCW_0805_150080xx75000","80,7720mm","65,4527mm","90","25mA Colorless Transparent Lens 67mcd~195mcd -30?~+85? 615nm~630nm Independent Diode Red 130° 65mW 1.6V~2.6V 0805 LED..."
"DS1","KT-0805G","TopLayer","WL-SMCW_0805_150080xx75000","84,0740mm","65,2780mm","270","-40?~+85? 100mW 120° 2.6V~3.1V 430mcd 513nm~528nm 525nm 5mA Emerald Green 0805 LED Indication - Discrete ROHS"
"D4","SMCJ28A","TopLayer","FAIR-DO-214AB-2_V","153,6051mm","15,2400mm","90","SMCJ Series 45.4 V 1.5 kW Surface Mount Uni-Directional TVS Diode - DO-214AB"
"D3","SMCJ28A","TopLayer","FAIR-DO-214AB-2_V","126,7460mm","36,8300mm","270","SMCJ Series 45.4 V 1.5 kW Surface Mount Uni-Directional TVS Diode - DO-214AB"
"R5","1206W4F0000T5E","TopLayer","RESC3216X60X45NL15T20","131,0665mm","55,1774mm","90","Thick Film Resistors - SMD RMC 1206 1/4W 1% T/R-5000"
