Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
R23,1206W4F1003T5E,TopLayer,RESC3216X60X45NL15T20,"46,9804mm","3,4251mm",270,"Fixed Resistor, Metal Glaze/thick Film, 0.25W, 100000ohm, 200V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 1206"
R22,1206W4F1003T5E,TopLayer,RESC3216X60X45NL15T20,"52,3476mm","46,0260mm",180,"Fixed Resistor, Metal Glaze/thick Film, 0.25W, 100000ohm, 200V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 1206"
R20,1206W4F3000T5E,TopLayer,RESC3216X89X51NL25T25,"38,5248mm","61,9333mm",0,250mW Thick Film Resistors 200V ±100ppm/? ±1% 300O 1206 Chip Resistor - Surface Mount ROHS
R19,0805W8F3901T5E,TopLayer,RESC2013X60X35ML10T20,"38,7748mm","59,2293mm",180,Res Thick Film 0805 3.9K Ohm 1% 0.125W(1/8W) ±100ppm/C Pad SMD T/R
Q9,BSS138,TopLayer,FAIR-SOT23-3_V,"59,2102mm","60,6913mm",180,"N-Channel Logic Level Enhancement Mode Field Effect Transistor, 220 mA, 50 V, -55 to 150 degC, 3-Pin SOT-23, RoHS, Tape and Reel"
Q8,BSS138,TopLayer,FAIR-SOT23-3_V,"59,2102mm","56,4825mm",180,"N-Channel Logic Level Enhancement Mode Field Effect Transistor, 220 mA, 50 V, -55 to 150 degC, 3-Pin SOT-23, RoHS, Tape and Reel"
Q7,BSS138,TopLayer,FAIR-SOT23-3_V,"59,2102mm","64,9000mm",180,"N-Channel Logic Level Enhancement Mode Field Effect Transistor, 220 mA, 50 V, -55 to 150 degC, 3-Pin SOT-23, RoHS, Tape and Reel"
Q6,BSS138,TopLayer,FAIR-SOT23-3_V,"59,2102mm","52,2738mm",180,"N-Channel Logic Level Enhancement Mode Field Effect Transistor, 220 mA, 50 V, -55 to 150 degC, 3-Pin SOT-23, RoHS, Tape and Reel"
FD3,FID1X2R,TopLayer,FID1X2R,"25,7528mm","64,2056mm",90,Fiducial - Round 1x2mm
FD2,FID1X2R,TopLayer,FID1X2R,"33,8046mm","66,3138mm",90,Fiducial - Round 1x2mm
FD1,FID1X2R,TopLayer,FID1X2R,"30,7820mm","66,4408mm",0,Fiducial - Round 1x2mm
DS4,KT-0805G,TopLayer,WL-SMCW_0805_150080xx75000,"44,4296mm","64,3893mm",90,-40?~+85? 100mW 120° 2.6V~3.1V 430mcd 513nm~528nm 525nm 5mA Emerald Green 0805 LED Indication - Discrete ROHS
DS3,NCD0805R1,TopLayer,Copy_of_WL-SMCW_0805_150080xx75000,"46,8156mm","64,2129mm",270,25mA Colorless Transparent Lens 67mcd~195mcd -30?~+85? 615nm~630nm Independent Diode Red 130° 65mW 1.6V~2.6V 0805 LED...
DS2,NCD0805R1,TopLayer,Copy_of_WL-SMCW_0805_150080xx75000,"49,2015mm","64,2130mm",270,25mA Colorless Transparent Lens 67mcd~195mcd -30?~+85? 615nm~630nm Independent Diode Red 130° 65mW 1.6V~2.6V 0805 LED...
