Voltage,Current,Power,Energy,Temperature,MotorCurrent,MeasuredDutyCycle,TargetDutyCycle,Phase,Repeat,CurrentLimit_A,Dyno_Timestamp_ms,Dyno_Speed_kmh,Car_Speed_kmh,Dyno_Torque_Nm,Dyno_Power_W
26.413,0.23,6.097,23488.535,19.75,2.3507,10.0,100.0,Accelerating,1.0,20.0,,,,,
26.025,9.96,259.228,23657.756,20.25,3.3,60.5,100.0,Accelerating,1.0,20.0,,,,,
,,,,,,,,,,,1782.0,3.412872,3.6308279999999997,4.744,19.14
25.778,15.737,405.622,24021.166,21.25,2.8721,100.0,100.0,Accelerating,1.0,20.0,,,,,
,,,,,,,,,,,2720.0,11.595968,12.336664,4.782,65.55
25.959,9.924,257.565,24381.112,21.25,1.9196,100.0,100.0,Accelerating,1.0,20.0,,,,,
,,,,,,,,,,,3658.0,19.835767999999998,21.101861999999997,4.811,112.79
26.025,7.997,208.148,24596.69,20.62,1.839,100.0,100.0,Accelerating,1.0,20.0,,,,,
,,,,,,,,,,,4596.0,22.953602,24.41816,4.833,131.12
26.022,7.87,204.756,24803.758,20.5,1.8785,100.0,100.0,Accelerating,1.0,20.0,,,,,
,,,,,,,,,,,5534.0,23.519755999999997,25.021526,4.86,135.1
26.016,7.937,206.477,25010.688,20.5,1.7785,100.0,100.0,Accelerating,1.0,20.0,,,,,
,,,,,,,,,,,6471.0,23.237122,24.720285999999998,4.89,134.29
26.003,8.016,208.457,25219.162,20.5,1.7399,100.0,100.0,Accelerating,1.0,20.0,,,,,
,,,,,,,,,,,7409.0,23.26193,24.746866,4.913,135.08
25.997,7.958,206.889,25427.013,20.5,1.8124,100.0,100.0,Accelerating,1.0,20.0,,,,,
,,,,,,,,,,,8347.0,23.519755999999997,25.021526,4.94,137.32
25.991,7.994,207.788,25635.233,20.5,1.7689,100.0,100.0,Accelerating,1.0,20.0,,,,,
,,,,,,,,,,,9285.0,23.236235999999998,24.7194,4.967,136.4
25.984,8.016,208.29,25844.413,20.5,1.8221,100.0,100.0,Accelerating,1.0,20.0,,,,,
,,,,,,,,,,,10223.0,23.519755999999997,25.021526,4.987,138.64
