Voltage,Current,Power,Energy,Temperature,MotorCurrent,MeasuredDutyCycle,TargetDutyCycle,Phase,Repeat,CurrentLimit_A,Timestamp_s,Dyno_Timestamp_ms,Dyno_Speed_kmh,Car_Speed_kmh,Dyno_Torque_Nm,Dyno_Power_W
26.85,1.178,31.62,1.705,20.37,2.1388,9.5,100.0,Accelerating,1.0,15.0,0.3145918846130371,,,,,
26.709,4.586,122.49,88.174,20.5,2.4667,60.0,100.0,Accelerating,1.0,15.0,1.324702501296997,,,,,
,,,,,,,,,,,1.8792157173156738,1782.0,1.312166,1.396336,4.837,7.5
26.612,6.698,178.258,235.891,20.62,2.4152,100.0,100.0,Accelerating,1.0,15.0,2.32617449760437,,,,,
,,,,,,,,,,,2.815882444381714,2720.0,5.797984,6.168332,4.895,33.55
26.513,8.971,237.802,444.027,20.87,2.5183,100.0,100.0,Accelerating,1.0,15.0,3.335171699523926,,,,,
,,,,,,,,,,,3.7606866359710693,3658.0,9.068209999999999,9.646768,4.938,52.92
26.45,10.154,264.942,693.865,21.12,2.4023,100.0,100.0,Accelerating,1.0,15.0,4.340653419494629,,,,,
,,,,,,,,,,,4.696797132492065,4596.0,12.752198,13.565546000000001,4.965,74.83
26.328,12.569,330.859,990.474,21.5,2.6102,100.0,100.0,Accelerating,1.0,15.0,5.34840202331543,,,,,
,,,,,,,,,,,5.629212141036987,5534.0,15.585626,16.580603999999997,5.008,92.25
26.447,8.906,235.548,1315.008,21.5,1.9316,100.0,100.0,Accelerating,1.0,15.0,6.3486552238464355,,,,,
,,,,,,,,,,,6.574669361114502,6472.0,18.986093999999998,20.198142,5.052,113.37
26.475,8.758,231.614,1544.172,21.12,1.9236,100.0,100.0,Accelerating,1.0,15.0,7.353867053985596,,,,,
,,,,,,,,,,,7.505993127822876,7410.0,22.103042,23.514439999999997,5.085,132.85
26.809,0.0,0.1,1595.988,20.62,0.8921,0.0,0.0,Coasting,1.0,15.0,8.359605073928833,,,,,
,,,,,,,,,,,8.4522123336792,8348.0,22.410484,23.841374,5.104,135.21
26.822,0.005,0.1,1596.081,20.62,0.8921,0.0,0.0,Coasting,1.0,15.0,9.366589307785034,,,,,
,,,,,,,,,,,9.394899606704712,9286.0,20.098024,21.380066,5.102,121.2
,,,,,,,,,,,10.324109315872192,10223.0,15.018585999999999,15.977238000000002,5.111,90.73
26.828,0.005,0.12,0.0,20.5,0.905,0.0,0.0,Accelerating,2.0,15.0,10.439134359359741,,,,,
,,,,,,,,,,,11.26314640045166,11161.0,10.212921999999999,10.864132,5.133,61.95
26.638,5.11,136.084,50.995,20.62,2.4103,46.0,100.0,Accelerating,2.0,15.0,11.373579025268555,,,,,
,,,,,,,,,,,12.193823337554932,12099.0,5.951262,6.33047,5.11,35.94
26.547,7.08,187.922,212.851,20.75,2.4458,96.0,100.0,Accelerating,2.0,15.0,12.380547046661377,,,,,
,,,,,,,,,,,13.134665489196777,13037.0,7.651496,8.139682,5.108,46.19
26.447,9.346,247.151,431.048,21.12,2.3168,100.0,100.0,Accelerating,2.0,15.0,13.381006240844727,,,,,
,,,,,,,,,,,14.073769569396973,13975.0,10.768444,11.455093999999999,5.128,65.26
26.388,10.687,282.047,685.256,21.25,2.3974,100.0,100.0,Accelerating,2.0,15.0,14.379751205444336,,,,,
,,,,,,,,,,,15.018913984298706,14913.0,14.168911999999999,15.072632,5.148,86.21
26.231,13.241,373.391,990.236,21.75,2.8681,100.0,100.0,Accelerating,2.0,15.0,15.38672423362732,,,,,
,,,,,,,,,,,15.958626985549927,15851.0,17.00234,18.08769,5.18,104.11
26.403,8.825,247.805,1308.588,21.62,1.7963,100.0,100.0,Accelerating,2.0,15.0,16.399118900299072,,,,,
,,,,,,,,,,,16.888869047164917,16789.0,20.119288,21.403988000000002,5.215,124.0
26.403,8.813,243.689,1538.742,21.37,1.8116,100.0,100.0,Accelerating,2.0,15.0,17.395551443099976,,,,,
,,,,,,,,,,,17.829074144363403,17727.0,22.386561999999998,23.81568,5.235,138.52
26.775,0.002,0.281,1655.47,20.87,0.8937,0.0,0.0,Coasting,2.0,15.0,18.39618754386902,,,,,
,,,,,,,,,,,18.76509428024292,18664.0,22.670082,24.116919999999997,5.24,140.4
26.788,-0.002,0.04,1655.555,20.75,0.8913,0.0,0.0,Coasting,2.0,15.0,19.412210702896118,,,,,
,,,,,,,,,,,19.70833730697632,19602.0,19.857917999999998,21.125784,5.232,122.81
26.8,-0.002,0.04,1655.639,20.62,0.8921,0.0,0.0,Coasting,2.0,15.0,20.40947127342224,,,,,
,,,,,,,,,,,20.640106201171875,20540.0,15.018585999999999,15.977238000000002,5.227,92.79
26.634,4.399,117.182,19.016,20.62,2.4184,32.5,100.0,Accelerating,3.0,15.0,21.414803981781006,,,,,
,,,,,,,,,,,21.578707695007324,21478.0,10.201404,10.852613999999999,5.259,63.41
26.547,6.442,170.998,163.768,15.88,2.4692,83.0,100.0,Accelerating,3.0,15.0,22.417184352874756,,,,,
,,,,,,,,,,,22.516796588897705,22416.0,5.384222,5.72799,5.248,33.4
26.45,8.693,229.911,363.387,21.12,2.5779,100.0,100.0,Accelerating,3.0,15.0,23.420057773590088,,,,,
,,,,,,,,,,,23.458038568496704,23354.0,7.651496,8.139682,5.207,47.09
,,,,,,,,,,,24.39718246459961,24290.0,10.779962,11.468384,5.222,66.53
26.394,9.734,256.904,607.334,21.37,2.2653,100.0,100.0,Accelerating,3.0,15.0,24.436328649520874,,,,,
,,,,,,,,,,,25.337767839431763,25228.0,13.885392,14.771391999999999,5.249,86.14
26.3,12.444,327.284,887.739,21.62,2.5763,100.0,100.0,Accelerating,3.0,15.0,25.436230659484863,,,,,
,,,,,,,,,,,26.28133535385132,26166.0,16.453906,17.503816,5.278,102.65
26.297,11.926,313.752,1233.915,22.0,2.1726,100.0,100.0,Accelerating,3.0,15.0,26.437842845916748,,,,,
,,,,,,,,,,,27.218791246414185,27104.0,20.119288,21.403988000000002,5.306,126.18
26.397,8.136,234.723,1479.421,21.5,1.9365,100.0,100.0,Accelerating,3.0,15.0,27.44691038131714,,,,,
,,,,,,,,,,,28.148799657821655,28042.0,22.386561999999998,23.81568,5.323,140.85
26.731,0.521,13.934,1655.178,21.12,0.9533,44.0,0.0,Coasting,3.0,15.0,28.447583198547363,,,,,
,,,,,,,,,,,29.091634511947632,28979.0,22.386561999999998,23.81568,5.328,140.98
26.763,-0.002,0.06,1656.799,20.75,0.9114,0.0,0.0,Coasting,3.0,15.0,29.452934741973877,,,,,
,,,,,,,,,,,30.022766590118408,29917.0,20.119288,21.403988000000002,5.315,126.39
26.778,-0.005,0.16,1656.883,20.75,0.8897,0.0,0.0,Coasting,3.0,15.0,30.463277339935303,,,,,
,,,,,,,,,,,30.96169400215149,30855.0,14.467493999999999,15.391592,5.312,90.84
26.759,0.763,20.397,3.041,20.75,1.1161,19.0,100.0,Accelerating,4.0,15.0,31.465839862823486,,,,,
,,,,,,,,,,,31.90284514427185,31793.0,9.917883999999999,10.551374000000001,5.317,62.33
26.556,5.825,151.9,119.693,20.87,2.3942,69.5,100.0,Accelerating,4.0,15.0,32.46722221374512,,,,,
,,,,,,,,,,,32.83521127700806,32731.0,5.384222,5.72799,5.308,33.78
26.466,7.958,210.639,300.48,21.12,2.507,100.0,100.0,Accelerating,4.0,15.0,33.469847202301025,,,,,
,,,,,,,,,,,33.77686905860901,33669.0,7.084455999999999,7.536316,5.288,44.28
26.391,9.542,251.843,533.768,21.37,2.42,100.0,100.0,Accelerating,4.0,15.0,34.484596729278564,,,,,
,,,,,,,,,,,34.718613147735596,34606.0,10.484924,11.153853999999999,5.294,65.61
26.328,10.867,286.132,795.948,21.62,2.6279,100.0,100.0,Accelerating,4.0,15.0,35.48658585548401,,,,,
,,,,,,,,,,,35.65194845199585,35544.0,13.616933999999999,14.4861,5.315,85.54
26.156,15.036,393.291,1124.39,22.12,2.9003,100.0,100.0,Accelerating,4.0,15.0,36.4860303401947,,,,,
,,,,,,,,,,,36.58930277824402,36482.0,16.435299999999998,17.484324,5.345,103.84
26.388,8.381,221.136,1414.433,21.75,1.93,100.0,100.0,Accelerating,4.0,15.0,37.487592935562134,,,,,
,,,,,,,,,,,37.53653120994568,37420.0,19.553134,20.800622,5.374,124.19
,,,,,,,,,,,38.464205265045166,38358.0,22.386561999999998,23.81568,5.386,142.51
26.431,6.746,178.302,1646.531,21.62,1.8124,98.0,0.0,Coasting,4.0,15.0,38.52326273918152,,,,,
,,,,,,,,,,,39.411547899246216,39296.0,22.103042,23.513554,5.39,140.81
26.744,-0.002,0.04,1655.24,21.0,0.8889,0.0,0.0,Coasting,4.0,15.0,39.50105857849121,,,,,
