Voltage,Current,Power,Energy,Temperature,MotorCurrent,MeasuredDutyCycle,TargetDutyCycle,Phase,Repeat,CurrentLimit_A,Timestamp_s,Dyno_Timestamp_ms,Dyno_Speed_kmh,Car_Speed_kmh,Dyno_Torque_Nm,Dyno_Power_W
28.013,0.002,0.112,1637.468,19.0,0.7116,0.0,0.0,Accelerating,1.0,15.0,0.12679219245910645,,,,,
28.013,0.002,0.107,1637.476,19.0,0.7084,0.0,0.0,Accelerating,1.0,15.0,0.17140793800354004,,,,,
28.016,0.005,0.126,0.0,19.0,0.7084,0.0,0.0,Accelerating,1.0,15.0,0.21683692932128906,,,,,
28.016,0.014,0.063,0.015,19.0,0.7092,0.06,100.0,Accelerating,1.0,15.0,0.2732980251312256,,,,,
28.013,0.007,0.168,0.031,19.0,0.7116,0.16,100.0,Accelerating,1.0,15.0,0.3051433563232422,,,,,
28.013,0.002,0.063,0.046,19.0,0.7164,0.27,100.0,Accelerating,1.0,15.0,0.3876059055328369,,,,,
28.013,0.019,0.55,0.077,19.0,0.7293,0.37,100.0,Accelerating,1.0,15.0,0.48738789558410645,,,,,
28.013,0.014,0.55,0.123,19.0,0.7438,0.47,100.0,Accelerating,1.0,15.0,0.5917482376098633,,,,,
28.013,0.024,0.676,0.169,19.0,0.7422,0.58,100.0,Accelerating,1.0,15.0,0.7002098560333252,,,,,
28.013,0.019,0.508,0.207,19.0,0.7575,0.68,100.0,Accelerating,1.0,15.0,0.8068068027496338,,,,,
28.013,0.022,0.634,0.261,19.0,0.7712,0.79,100.0,Accelerating,1.0,15.0,0.9084415435791016,,,,,
28.016,0.026,0.719,0.315,19.0,0.7809,0.89,100.0,Accelerating,1.0,15.0,1.0175492763519287,,,,,
28.013,0.022,0.634,0.376,19.0,0.7954,1.0,100.0,Accelerating,1.0,15.0,1.1185564994812012,,,,,
28.013,0.024,0.697,0.438,19.0,0.8042,1.1,100.0,Accelerating,1.0,15.0,1.2232344150543213,,,,,
28.013,0.017,0.462,0.515,19.0,0.8179,1.21,100.0,Accelerating,1.0,15.0,1.326603651046753,,,,,
28.013,0.026,0.739,0.607,19.0,0.8212,1.31,100.0,Accelerating,1.0,15.0,1.4308795928955078,,,,,
28.013,0.031,0.865,0.699,19.0,0.8445,1.42,100.0,Accelerating,1.0,15.0,1.5411841869354248,,,,,
28.013,0.043,1.206,0.814,19.0,0.8663,1.52,100.0,Accelerating,1.0,15.0,1.6444933414459229,,,,,
28.013,0.041,1.143,0.937,19.0,0.8679,1.63,100.0,Accelerating,1.0,15.0,1.743546724319458,,,,,
28.009,0.046,1.248,1.068,19.0,0.8824,1.73,100.0,Accelerating,1.0,15.0,1.8541693687438965,,,,,
,,,,,,,,,,,1.8799145221710205,1782.0,0.0,0.0,-0.015,0.0
28.009,0.053,1.525,1.213,19.0,0.8856,1.83,100.0,Accelerating,1.0,15.0,1.9576163291931152,,,,,
28.009,0.06,1.693,1.375,19.0,0.9082,1.94,100.0,Accelerating,1.0,15.0,2.058864116668701,,,,,
28.013,0.062,1.609,1.567,19.0,1.1137,2.04,100.0,Accelerating,1.0,15.0,2.1592257022857666,,,,,
28.009,0.053,1.483,1.72,19.0,0.8075,2.15,100.0,Accelerating,1.0,15.0,2.2647716999053955,,,,,
28.013,0.048,1.353,1.866,19.0,0.7591,2.25,100.0,Accelerating,1.0,15.0,2.3718793392181396,,,,,
28.013,0.072,2.012,2.043,19.0,0.9243,2.35,100.0,Accelerating,1.0,15.0,2.477299451828003,,,,,
28.009,0.082,2.306,2.281,19.0,0.9372,2.46,100.0,Accelerating,1.0,15.0,2.578860282897949,,,,,
28.009,0.091,2.584,2.542,19.0,0.9501,2.56,100.0,Accelerating,1.0,15.0,2.6880862712860107,,,,,
28.009,0.101,2.794,2.819,19.0,0.9904,2.67,100.0,Accelerating,1.0,15.0,2.7917282581329346,,,,,
,,,,,,,,,,,2.8170526027679443,2720.0,0.0,0.0,0.401,0.0
28.009,0.113,3.155,3.133,19.0,0.9952,2.77,100.0,Accelerating,1.0,15.0,2.890902280807495,,,,,
28.009,0.11,3.092,3.471,19.0,1.0049,2.88,100.0,Accelerating,1.0,15.0,3.0044779777526855,,,,,
28.009,0.115,3.26,3.802,19.0,0.9952,2.98,100.0,Accelerating,1.0,15.0,3.1038894653320312,,,,,
28.009,0.13,3.6,4.17,19.0,1.0275,3.09,100.0,Accelerating,1.0,15.0,3.2129340171813965,,,,,
28.009,0.139,4.024,4.562,19.0,1.0476,3.19,100.0,Accelerating,1.0,15.0,3.3137176036834717,,,,,
28.009,0.134,3.747,4.961,19.0,1.0533,3.3,100.0,Accelerating,1.0,15.0,3.4200198650360107,,,,,
28.009,0.151,4.554,5.391,19.0,1.0565,3.4,100.0,Accelerating,1.0,15.0,3.5243847370147705,,,,,
28.009,0.154,4.319,5.814,19.0,1.0533,3.51,100.0,Accelerating,1.0,15.0,3.625298500061035,,,,,
28.006,0.161,4.596,6.29,19.0,1.0637,3.61,100.0,Accelerating,1.0,15.0,3.733525514602661,,,,,
,,,,,,,,,,,3.746020793914795,3658.0,0.0,0.0,2.026,0.0
28.009,0.175,4.873,6.758,19.0,1.0952,3.71,100.0,Accelerating,1.0,15.0,3.839233875274658,,,,,
28.006,0.18,5.041,7.281,19.0,1.1129,3.82,100.0,Accelerating,1.0,15.0,3.9361114501953125,,,,,
28.006,0.214,5.952,7.857,19.0,1.1508,3.92,100.0,Accelerating,1.0,15.0,4.040783643722534,,,,,
28.006,0.216,6.036,8.479,19.0,1.1556,4.03,100.0,Accelerating,1.0,15.0,4.1442883014678955,,,,,
28.006,0.218,6.141,9.124,19.0,1.1951,4.13,100.0,Accelerating,1.0,15.0,4.2508862018585205,,,,,
28.003,0.257,7.157,9.838,19.0,1.2515,4.24,100.0,Accelerating,1.0,15.0,4.352956771850586,,,,,
28.003,0.264,7.414,10.606,19.0,1.2579,4.34,100.0,Accelerating,1.0,15.0,4.462410926818848,,,,,
28.003,0.286,7.984,11.405,19.0,1.2612,4.44,100.0,Accelerating,1.0,15.0,4.568596363067627,,,,,
28.0,0.293,8.199,12.242,19.0,1.2974,4.55,100.0,Accelerating,1.0,15.0,4.6722917556762695,,,,,
