Voltage,Current,Power,Energy,Temperature,MotorCurrent,MeasuredDutyCycle,TargetDutyCycle,Phase,Repeat,CurrentLimit_A,Dyno_Timestamp_ms,Dyno_Speed_kmh,Car_Speed_kmh,Dyno_Torque_Nm,Dyno_Power_W
26.403,0.348,9.173,25929.777,19.87,2.5957,12.0,100.0,Accelerating,1.0,15.0,,,,,
26.228,4.649,121.914,26024.525,20.0,2.4297,62.5,100.0,Accelerating,1.0,15.0,,,,,
,,,,,,,,,,,1782.0,2.09982,2.234492,4.818,11.96
26.119,7.116,185.841,26185.444,20.25,2.4136,100.0,100.0,Accelerating,1.0,15.0,,,,,
,,,,,,,,,,,2720.0,7.018006,7.466322,4.866,40.36
26.016,9.25,240.648,26409.201,20.5,2.3032,100.0,100.0,Accelerating,1.0,15.0,,,,,
,,,,,,,,,,,3658.0,10.768444,11.455093999999999,4.896,62.31
25.922,11.095,287.611,26674.268,20.75,2.2089,100.0,100.0,Accelerating,1.0,15.0,,,,,
,,,,,,,,,,,4595.0,14.735066,15.675998,4.953,86.26
25.872,11.815,305.618,27010.107,21.25,2.1428,100.0,100.0,Accelerating,1.0,15.0,,,,,
,,,,,,,,,,,5533.0,18.439432,19.616926,5.0,108.97
26.003,8.186,212.903,27241.482,20.75,1.8503,100.0,100.0,Accelerating,1.0,15.0,,,,,
,,,,,,,,,,,6471.0,22.103042,23.513554,5.037,131.58
26.325,0.031,0.847,27313.989,20.25,0.8945,0.0,0.0,Coasting,1.0,15.0,,,,,
,,,,,,,,,,,7409.0,23.237122,24.720285999999998,5.058,138.91
26.337,0.0,0.097,27314.074,20.0,0.8889,0.0,0.0,Coasting,1.0,15.0,,,,,
,,,,,,,,,,,8347.0,20.686328,22.006467999999998,5.06,123.71
26.347,0.0,0.096,27314.173,20.0,0.8929,0.0,0.0,Coasting,1.0,15.0,,,,,
,,,,,,,,,,,9285.0,15.869146,16.881843999999997,5.058,94.86
26.353,0.0,0.097,27314.25,20.0,0.8937,0.0,0.0,Coasting,1.0,15.0,,,,,
,,,,,,,,,,,10223.0,11.051964,11.757219999999998,5.117,66.83
,,,,,,,,,,,11161.0,6.233896,6.631709999999999,5.18,38.17
26.359,0.0,0.086,27314.35,20.0,0.9501,1.5,100.0,Accelerating,2.0,15.0,,,,,
,,,,,,,,,,,12099.0,1.1331939999999998,1.205846,3.05,4.09
26.209,3.883,101.801,27384.353,20.0,2.5103,52.0,100.0,Accelerating,2.0,15.0,,,,,
,,,,,,,,,,,13037.0,1.983754,2.110452,5.157,12.09
26.112,6.18,161.376,27525.143,20.25,2.4466,100.0,100.0,Accelerating,2.0,15.0,,,,,
,,,,,,,,,,,13975.0,6.233896,6.631709999999999,5.101,37.59
25.997,8.777,228.14,27728.778,20.5,2.1299,100.0,100.0,Accelerating,2.0,15.0,,,,,
,,,,,,,,,,,14913.0,10.201404,10.852613999999999,5.126,61.8
25.934,9.994,259.174,27975.107,20.75,2.3136,100.0,100.0,Accelerating,2.0,15.0,,,,,
,,,,,,,,,,,15851.0,14.168911999999999,15.072632,5.147,86.2
25.791,13.226,341.067,28278.858,21.12,3.0034,100.0,100.0,Accelerating,2.0,15.0,,,,,
,,,,,,,,,,,16789.0,17.28586,18.388930000000002,5.187,105.97
25.934,9.043,234.536,28576.827,21.0,2.0235,100.0,100.0,Accelerating,2.0,15.0,,,,,
,,,,,,,,,,,18112.0,20.969848,22.307707999999998,5.229,129.59
26.047,5.844,152.372,28778.02,20.75,0.9896,78.0,0.0,Coasting,2.0,15.0,,,,,
,,,,,,,,,,,19050.0,23.706702,25.21999,5.246,147.0
26.297,0.0,0.09,28781.215,20.25,0.8921,0.0,0.0,Coasting,2.0,15.0,,,,,
,,,,,,,,,,,19988.0,20.686328,22.006467999999998,5.243,128.2
26.309,0.0,0.088,28781.299,20.25,0.8921,0.0,0.0,Coasting,2.0,15.0,,,,,
,,,,,,,,,,,20926.0,15.585626,16.580603999999997,5.238,96.49
26.319,0.0,0.089,28781.391,20.12,0.8881,0.0,0.0,Coasting,2.0,15.0,,,,,
,,,,,,,,,,,21864.0,10.484924,11.153853999999999,5.266,65.26
26.325,0.0,0.102,28781.476,20.12,0.8881,0.0,0.0,Coasting,2.0,15.0,,,,,
,,,,,,,,,,,22802.0,5.384222,5.72799,4.59,29.21
26.275,1.565,41.1,28796.882,20.12,2.6199,22.0,100.0,Accelerating,3.0,15.0,,,,,
,,,,,,,,,,,23740.0,0.85056,0.904606,3.461,3.48
26.147,4.718,123.374,28901.023,20.25,2.4522,72.0,100.0,Accelerating,3.0,15.0,,,,,
,,,,,,,,,,,24678.0,1.983754,2.110452,5.213,12.22
26.05,7.015,182.755,29065.152,20.5,2.4675,100.0,100.0,Accelerating,3.0,15.0,,,,,
,,,,,,,,,,,25616.0,6.233896,6.6325959999999995,5.178,38.15
25.956,9.166,237.865,29289.009,20.75,2.1412,100.0,100.0,Accelerating,3.0,15.0,,,,,
,,,,,,,,,,,26554.0,10.201404,10.852613999999999,5.199,62.68
25.881,10.68,276.377,29550.497,21.0,2.2621,100.0,100.0,Accelerating,3.0,15.0,,,,,
,,,,,,,,,,,27491.0,13.885392,14.771391999999999,5.221,85.69
25.7,14.866,381.997,29887.811,21.62,2.4611,100.0,100.0,Accelerating,3.0,15.0,,,,,
,,,,,,,,,,,28428.0,17.020946000000002,18.107182,5.259,105.81
25.931,8.556,221.856,30134.362,21.0,1.8156,100.0,100.0,Accelerating,3.0,15.0,,,,,
,,,,,,,,,,,29366.0,20.709364,22.03039,5.292,129.54
26.275,0.0,0.078,30167.478,20.5,0.8889,0.0,0.0,Coasting,3.0,15.0,,,,,
,,,,,,,,,,,30304.0,23.236235999999998,24.7194,5.303,145.64
,,,,,,,,,,,31242.0,20.686328,22.006467999999998,5.295,129.47
26.288,0.0,0.109,30167.57,20.37,0.8873,0.0,0.0,Coasting,3.0,15.0,,,,,
,,,,,,,,,,,32181.0,15.285272,16.260758,5.302,95.79
26.3,0.0,0.11,30167.654,20.25,0.8921,0.0,0.0,Coasting,3.0,15.0,,,,,
,,,,,,,,,,,33118.0,10.496442,11.166258,5.347,66.34
26.309,0.0,0.124,30167.747,20.25,0.8921,0.0,0.0,Coasting,3.0,15.0,,,,,
,,,,,,,,,,,34056.0,5.384222,5.72799,4.282,27.25
26.303,0.384,10.064,30170.342,20.25,2.1831,11.5,100.0,Accelerating,4.0,15.0,,,,,
,,,,,,,,,,,34994.0,0.56704,0.60248,3.323,2.23
26.147,4.409,115.271,30259.469,20.37,2.4917,61.5,100.0,Accelerating,4.0,15.0,,,,,
,,,,,,,,,,,35932.0,1.983754,2.110452,5.252,12.31
26.05,6.708,174.759,30409.836,20.5,2.4821,100.0,100.0,Accelerating,4.0,15.0,,,,,
,,,,,,,,,,,36870.0,5.951262,6.33047,5.254,36.95
25.947,8.954,232.33,30620.291,20.75,2.3032,100.0,100.0,Accelerating,4.0,15.0,,,,,
,,,,,,,,,,,37808.0,10.201404,10.852613999999999,5.253,63.34
25.897,10.006,259.1,30870.651,21.0,2.204,100.0,100.0,Accelerating,4.0,15.0,,,,,
,,,,,,,,,,,38746.0,13.601872,14.470151999999999,5.296,85.14
25.759,13.224,340.647,31182.19,21.37,2.7794,100.0,100.0,Accelerating,4.0,15.0,,,,,
,,,,,,,,,,,39684.0,17.00234,18.08769,5.33,107.1
25.9,9.113,235.984,31471.542,21.25,1.9316,100.0,100.0,Accelerating,4.0,15.0,,,,,
,,,,,,,,,,,40622.0,20.402808,21.705227999999998,5.364,129.36
26.256,0.024,0.753,31552.558,20.62,0.8889,0.0,0.0,Coasting,4.0,15.0,,,,,
,,,,,,,,,,,41560.0,23.237122,24.720285999999998,5.371,147.51
26.275,0.0,0.095,31552.643,20.5,0.8921,0.0,0.0,Coasting,4.0,15.0,,,,,
,,,,,,,,,,,42498.0,20.402808,21.705227999999998,5.362,129.31
26.284,0.0,0.089,31552.727,20.37,0.8953,0.0,0.0,Coasting,4.0,15.0,,,,,
,,,,,,,,,,,43436.0,15.302106,16.278478,5.364,97.01
26.294,0.0,0.091,31552.812,20.37,0.8905,0.0,0.0,Coasting,4.0,15.0,,,,,
,,,,,,,,,,,44374.0,10.201404,10.852613999999999,5.425,65.41
,,,,,,,,,,,45312.0,5.100702,5.425864,4.024,24.26
26.303,0.0,0.098,31552.904,20.37,0.9453,0.5,100.0,Accelerating,5.0,15.0,,,,,
,,,,,,,,,,,46250.0,0.56704,0.60248,3.191,2.14
26.163,3.814,99.755,31620.165,20.5,2.5103,51.0,100.0,Accelerating,5.0,15.0,,,,,
,,,,,,,,,,,47188.0,1.983754,2.110452,5.296,12.42
26.066,6.125,159.667,31758.013,20.62,2.4845,100.0,100.0,Accelerating,5.0,15.0,,,,,
,,,,,,,,,,,48126.0,5.951262,6.33047,5.292,37.22
25.956,8.652,224.563,31956.595,20.75,2.4289,100.0,100.0,Accelerating,5.0,15.0,,,,,
,,,,,,,,,,,49064.0,10.189886,10.841096,5.303,63.88
25.9,9.859,255.321,32199.46,21.0,2.2105,100.0,100.0,Accelerating,5.0,15.0,,,,,
,,,,,,,,,,,50002.0,13.601872,14.470151999999999,5.332,85.72
25.772,12.583,324.312,32491.331,21.37,2.5715,100.0,100.0,Accelerating,5.0,15.0,,,,,
,,,,,,,,,,,50940.0,17.00234,18.08769,5.37,107.92
25.875,9.538,246.742,32808.069,21.5,2.0058,100.0,100.0,Accelerating,5.0,15.0,,,,,
,,,,,,,,,,,51878.0,20.402808,21.705227999999998,5.402,130.27
26.237,0.226,5.949,32938.337,20.87,0.9114,6.0,0.0,Coasting,5.0,15.0,,,,,
,,,,,,,,,,,52816.0,23.236235999999998,24.7194,5.414,148.7
26.259,0.0,0.106,32938.468,20.62,0.8913,0.0,0.0,Coasting,5.0,15.0,,,,,
,,,,,,,,,,,53754.0,20.402808,21.705227999999998,5.404,130.32
26.272,0.0,0.097,32938.552,20.5,0.8921,0.0,0.0,Coasting,5.0,15.0,,,,,
,,,,,,,,,,,54692.0,15.302106,16.279364,5.402,97.7
26.284,0.0,0.089,32938.637,20.5,0.8929,0.0,0.0,Coasting,5.0,15.0,,,,,
,,,,,,,,,,,55630.0,10.201404,10.852613999999999,5.457,65.8
26.291,0.0,0.091,32938.729,20.5,0.8905,0.0,0.0,Coasting,5.0,15.0,,,,,
,,,,,,,,,,,56568.0,4.817182,5.124624,3.869,22.03
