Voltage,Current,Power,Energy,Temperature,MotorCurrent,MeasuredDutyCycle,TargetDutyCycle,Phase,Repeat,CurrentLimit_A,Timestamp_s,Dyno_Timestamp_ms,Dyno_Speed_kmh,Car_Speed_kmh,Dyno_Torque_Nm,Dyno_Power_W
26.806,0.002,0.06,817.075,20.5,0.8929,0.0,0.0,Accelerating,1.0,20.0,0.10289430618286133,,,,,
26.809,0.0,0.02,817.091,20.5,0.8945,0.0,0.0,Accelerating,1.0,20.0,0.18137216567993164,,,,,
26.806,-0.002,0.04,0.0,20.5,0.8953,0.0,0.0,Accelerating,1.0,20.0,0.2153785228729248,,,,,
26.806,0.014,0.382,0.015,20.5,0.9775,1.0,100.0,Accelerating,1.0,20.0,0.24889492988586426,,,,,
26.8,0.163,4.362,0.315,20.5,1.0105,6.0,100.0,Accelerating,1.0,20.0,0.2714660167694092,,,,,
26.753,1.435,38.391,2.627,20.5,2.3072,11.5,100.0,Accelerating,1.0,20.0,0.3512611389160156,,,,,
26.712,2.551,68.128,8.187,20.5,2.6142,16.5,100.0,Accelerating,1.0,20.0,0.4565250873565674,,,,,
26.656,4.03,107.436,17.165,20.5,3.1888,22.0,100.0,Accelerating,1.0,20.0,0.5594592094421387,,,,,
26.603,5.393,143.444,30.098,20.5,3.2589,27.0,100.0,Accelerating,1.0,20.0,0.6652357578277588,,,,,
26.55,6.641,176.309,46.548,20.62,3.3,32.5,100.0,Accelerating,1.0,20.0,0.7668466567993164,,,,,
26.513,7.548,200.106,66.01,20.62,3.3,37.5,100.0,Accelerating,1.0,20.0,0.8700675964355469,,,,,
26.475,8.621,228.15,88.289,20.75,3.3,43.0,100.0,Accelerating,1.0,20.0,0.977039098739624,,,,,
26.434,9.439,249.537,113.265,20.87,3.3,48.0,100.0,Accelerating,1.0,20.0,1.079103946685791,,,,,
26.391,10.438,275.516,140.813,20.87,3.3,53.0,100.0,Accelerating,1.0,20.0,1.1882004737854004,,,,,
26.359,11.282,297.388,170.842,21.0,3.3,58.5,100.0,Accelerating,1.0,20.0,1.2895445823669434,,,,,
26.306,12.379,327.969,204.557,21.12,3.3,64.0,100.0,Accelerating,1.0,20.0,1.391777515411377,,,,,
26.259,13.656,358.624,240.292,21.25,3.3,69.0,100.0,Accelerating,1.0,20.0,1.4963624477386475,,,,,
26.219,14.71,385.641,279.145,21.5,3.3,74.0,100.0,Accelerating,1.0,20.0,1.6010911464691162,,,,,
26.184,15.905,416.282,321.201,21.62,3.3,79.5,100.0,Accelerating,1.0,20.0,1.71429443359375,,,,,
26.119,17.134,447.503,366.528,21.87,3.3,84.5,100.0,Accelerating,1.0,20.0,1.8163573741912842,,,,,
,,,,,,,,,,,1.8736376762390137,1783.0,2.625218,2.792672,1.939,6.02
26.078,18.329,477.97,412.477,22.12,3.3,90.0,100.0,Accelerating,1.0,20.0,1.930100679397583,,,,,
26.028,19.646,511.405,462.305,22.25,3.3,95.0,100.0,Accelerating,1.0,20.0,2.0204503536224365,,,,,
26.169,15.684,410.354,508.877,22.37,2.9196,95.0,100.0,Accelerating,1.0,20.0,2.125120162963867,,,,,
26.112,16.757,437.569,550.333,22.25,3.188,100.0,100.0,Accelerating,1.0,20.0,2.227186441421509,,,,,
26.241,11.885,346.549,591.56,22.25,2.4958,100.0,100.0,Accelerating,1.0,20.0,2.3365652561187744,,,,,
26.328,11.026,290.249,624.138,22.0,1.9768,100.0,100.0,Accelerating,1.0,20.0,2.438870429992676,,,,,
26.391,9.005,237.676,650.673,21.87,1.9204,100.0,100.0,Accelerating,1.0,20.0,2.538449287414551,,,,,
26.444,8.023,212.173,673.659,21.75,1.9252,100.0,100.0,Accelerating,1.0,20.0,2.6440773010253906,,,,,
26.475,6.89,182.473,694.502,21.62,1.6988,100.0,100.0,Accelerating,1.0,20.0,2.7561442852020264,,,,,
,,,,,,,,,,,2.8210787773132324,2721.0,12.80713,13.624908,1.948,29.49
26.497,6.835,181.016,712.812,21.5,1.6149,100.0,100.0,Accelerating,1.0,20.0,2.864382743835449,,,,,
26.525,5.482,145.413,730.161,21.37,1.5142,100.0,100.0,Accelerating,1.0,20.0,2.9574687480926514,,,,,
26.528,5.551,147.263,745.644,21.25,1.5803,100.0,100.0,Accelerating,1.0,20.0,3.0627448558807373,,,,,
26.556,4.968,131.912,760.773,21.12,1.4804,100.0,100.0,Accelerating,1.0,20.0,3.1715195178985596,,,,,
26.559,4.75,126.121,775.027,21.12,1.5207,100.0,100.0,Accelerating,1.0,20.0,3.2746095657348633,,,,,
26.572,4.474,113.101,789.059,21.0,1.4159,100.0,100.0,Accelerating,1.0,20.0,3.3772239685058594,,,,,
26.572,4.517,119.976,802.168,21.0,1.453,100.0,100.0,Accelerating,1.0,20.0,3.4824817180633545,,,,,
26.575,4.301,114.317,815.224,21.0,1.5376,100.0,100.0,Accelerating,1.0,20.0,3.5871388912200928,,,,,
26.556,5.441,134.299,828.933,21.0,1.453,100.0,100.0,Accelerating,1.0,20.0,3.70200777053833,,,,,
,,,,,,,,,,,3.75846004486084,3659.0,21.536002,22.911073999999996,1.959,49.86
26.578,4.726,125.521,841.92,21.0,1.4143,100.0,100.0,Accelerating,1.0,20.0,3.8087568283081055,,,,,
26.562,4.97,131.995,854.884,20.87,1.4352,100.0,100.0,Accelerating,1.0,20.0,3.9112744331359863,,,,,
26.562,4.615,122.591,867.825,20.87,1.3966,100.0,100.0,Accelerating,1.0,20.0,4.012917518615723,,,,,
26.575,4.538,120.56,880.282,20.87,1.3998,100.0,100.0,Accelerating,1.0,20.0,4.119646787643433,,,,,
26.566,4.776,126.864,892.954,20.87,1.4352,100.0,100.0,Accelerating,1.0,20.0,4.224595546722412,,,,,
26.566,4.67,121.372,905.372,20.87,1.4151,100.0,100.0,Accelerating,1.0,20.0,4.329493761062622,,,,,
26.566,4.433,117.784,917.676,20.87,1.4691,100.0,100.0,Accelerating,1.0,20.0,4.43407416343689,,,,,
26.572,4.399,116.885,929.933,20.87,1.4473,100.0,100.0,Accelerating,1.0,20.0,4.5354673862457275,,,,,
26.572,4.289,113.982,942.29,20.75,1.4409,100.0,100.0,Accelerating,1.0,20.0,4.641033887863159,,,,,
,,,,,,,,,,,4.691651105880737,4597.0,23.803276,25.322766,1.962,55.19
26.634,1.03,27.47,952.957,20.75,1.0267,94.0,0.0,Coasting,1.0,20.0,4.739365577697754,,,,,
26.728,0.538,14.392,954.056,20.75,0.9388,72.0,0.0,Coasting,1.0,20.0,4.842207193374634,,,,,
26.737,0.07,1.873,955.062,20.75,0.988,52.0,0.0,Coasting,1.0,20.0,4.955783367156982,,,,,
26.731,0.348,9.323,956.329,20.62,1.0033,30.0,0.0,Coasting,1.0,20.0,5.05511474609375,,,,,
26.741,0.06,5.66,957.005,20.75,0.9267,10.0,0.0,Coasting,1.0,20.0,5.165771245956421,,,,,
26.75,-0.005,0.16,957.082,20.62,0.8953,0.0,0.0,Coasting,1.0,20.0,5.260960578918457,,,,,
26.747,0.005,0.1,957.089,20.75,0.8937,0.0,0.0,Coasting,1.0,20.0,5.373651742935181,,,,,
26.747,-0.002,0.06,957.097,20.62,0.8961,0.0,0.0,Coasting,1.0,20.0,5.476299047470093,,,,,
26.75,0.0,0.02,957.105,20.62,0.8953,0.0,0.0,Coasting,1.0,20.0,5.577634572982788,,,,,
,,,,,,,,,,,5.638830900192261,5535.0,23.519755999999997,25.021526,1.963,54.57
26.75,0.005,0.14,957.12,20.62,0.8921,0.0,0.0,Coasting,1.0,20.0,5.689546585083008,,,,,
26.753,-0.005,0.1,957.128,20.62,0.8937,0.0,0.0,Coasting,1.0,20.0,5.795075416564941,,,,,
26.753,-0.012,0.301,957.135,20.62,0.8945,0.0,0.0,Coasting,1.0,20.0,5.891303300857544,,,,,
26.753,-0.005,0.1,957.143,20.62,0.8969,0.0,0.0,Coasting,1.0,20.0,5.995973587036133,,,,,
26.756,0.0,0.0,957.151,20.62,0.8945,0.0,0.0,Coasting,1.0,20.0,6.102787494659424,,,,,
26.753,0.002,0.06,957.166,20.62,0.8937,0.0,0.0,Coasting,1.0,20.0,6.207051515579224,,,,,
26.756,0.005,0.1,957.174,20.62,0.8953,0.0,0.0,Coasting,1.0,20.0,6.311088562011719,,,,,
26.756,-0.005,0.12,957.181,20.62,0.8937,0.0,0.0,Coasting,1.0,20.0,6.416481971740723,,,,,
26.756,0.007,0.201,957.189,20.62,0.8953,0.0,0.0,Coasting,1.0,20.0,6.519155025482178,,,,,
,,,,,,,,,,,6.573314189910889,6473.0,22.670082,24.116919999999997,1.962,52.58
26.759,0.002,0.06,957.204,20.62,0.8953,0.0,0.0,Coasting,1.0,20.0,6.623680591583252,,,,,
26.756,-0.005,0.12,957.212,20.62,0.8929,0.0,0.0,Coasting,1.0,20.0,6.729989528656006,,,,,
26.756,0.0,0.02,957.22,20.62,0.8881,0.0,0.0,Coasting,1.0,20.0,6.8346521854400635,,,,,
26.759,-0.002,0.06,957.228,20.62,0.8953,0.0,0.0,Coasting,1.0,20.0,6.93730092048645,,,,,
26.759,-0.002,0.08,957.235,20.62,0.8937,0.0,0.0,Coasting,1.0,20.0,7.041611909866333,,,,,
