SetDutyCycle,MeasuredDutyCycle,Voltage_V,Current_A,Power_W,Energy_J,Temperature_C,MotorCurrent_A,SamplesCount,Dyno_RPM,Car_RPM,Dyno_Torque_Nm,Dyno_Power_W,DynoSamplesCount
0.0,0.0,28.526162499999998,0.00030000000000000003,0.050625,0.4454,20.75,0.2245125,8,,,,,0
1.0,1.0,28.523449999999997,0.0246,0.700375,3.479,20.75,0.3678,8,,,,,0
2.0,2.0,28.5218875,0.0561,1.6191,7.3651,20.75,0.3909375,8,,,,,0
3.0,3.0,28.5156,0.1077,3.0651125,15.1526,20.75,0.478,8,,,,,0
4.0,4.0,28.5082375,0.1878,5.411875,27.1334,20.75,0.6013000000000001,8,,,,,0
5.0,5.0,28.49597142857143,0.32399999999999995,9.1809,41.879,20.75,0.7538285714285714,7,,,,,0
6.0,6.0,28.48905,0.3681,10.5774125,53.3683,20.75,0.7567,8,,,,,0
7.0,7.0,28.4800875,0.4398,12.5943625,63.2986,20.75,0.7892375,8,,,,,0
8.0,8.0,28.4722875,0.5229,15.020825,74.0506,20.78,0.771725,8,,,,,0
9.0,9.0,28.460925,0.6132,17.59645,84.7949,20.855,0.836275,8,,,,,0
10.0,10.0,28.452725,0.6999,19.0799375,95.593,20.87,0.7947875,8,,,,,0
11.0,11.0,28.4433625,0.7887,22.6897,107.5123,20.87,0.793175,8,,,,,0
12.0,12.0,28.4324125,0.8649,24.0059875,119.7696,20.87,0.7906375,8,,,,,0
13.0,13.0,28.419657142857144,0.9157714285714286,26.411728571428572,125.6678,20.944285714285716,0.7904428571428571,7,,,,,0
14.0,14.0,28.4129,1.005,28.5522625,138.0941,21.0,0.8257,8,,,,,0
15.0,15.0,28.4003875,1.1055,31.383175,149.5373,21.0,0.8416125,8,,,,,0
20.0,20.0,28.35745,1.4718,41.797075,213.335,21.0,0.8162375000000001,8,,,,,0
25.0,25.0,28.3152375,1.9059,53.9569,274.5754,21.015,0.85,8,,,,,0
30.0,30.0,28.268375,2.3439,66.8936375,333.6269,21.12,0.850275,8,,,,,0
35.0,35.0,28.222675000000002,2.7744,78.2939375,392.1946,21.13625,0.8808125,8,,,,,0
40.0,40.0,28.173450000000003,3.1746,88.640575,447.7286,21.25,0.898725,8,,,,,0
45.0,45.0,28.1359375,3.4689,98.082775,499.9142,21.25,0.8775875,8,,,,,0
50.0,50.0,28.088857142857144,3.8664,108.60232857142857,525.2045,21.37,0.8969428571428572,7,,,,,0
55.0,55.0,28.045099999999998,4.146857142857143,116.31524285714285,570.5242,21.37,0.9006142857142857,7,,,,,0
60.0,60.0,28.0203125,4.3695,122.721175,612.3187,21.5,0.90115,8,,,,,0
65.0,65.0,27.9855625,4.5939,128.7390625,653.1533,21.515,0.89985,8,,,,,0
70.0,70.0,27.9476625,4.8423,135.546,693.5117,21.62,0.9045875,8,,,,,0
75.0,75.0,27.911725,5.0277,141.0938375,731.159,21.6525,0.9265375,8,,,,,0
80.0,80.0,27.87345,5.388,150.644025,769.7818,21.75,0.9581625,8,,,,,0
85.0,85.0,27.838275,5.6709,157.480975,805.3094,21.795,0.9388375,8,,,,,0
86.0,86.0,27.8257875,5.6637,156.895725,787.4304,21.87,0.9348125,8,,,,,0
87.0,87.0,27.802685714285712,5.706171428571429,156.61975714285714,755.3971,21.87,0.9450428571428571,7,,,,,0
88.0,88.0,27.7918125,5.7852,161.0615875,763.2691,21.87,0.9408375,8,,,,,0
89.0,89.0,27.7758,5.8959,163.8381125,784.8115,22.0,0.9401375,8,,,,,0
90.0,90.0,27.741025,6.0387,168.4168125,791.8003,22.0,0.9532375,8,,,,,0
91.0,91.0,27.748037500000002,5.8392,161.6538,797.0381,22.0,0.9332875,8,,,,,0
92.0,92.0,27.7144625,6.2103,171.930975,807.1987,22.075,0.9642125,8,,,,,0
93.0,93.0,27.739449999999998,5.628,158.8712875,820.3469,22.12,0.908725,8,,,,,0
94.0,94.0,27.696875,6.0243,166.30085,830.761,22.12,0.9381125,8,,,,,0
95.0,95.0,27.688414285714288,6.021257142857143,166.70585714285716,798.4051,22.17571428571429,0.9456142857142857,7,,,,,0
96.0,96.0,27.6769375,6.0651,167.5213125,816.9984,22.25,0.946175,8,,,,,0
97.0,97.0,27.654675,6.3375,175.19095,833.9558,22.25,0.9623,8,,,,,0
98.0,98.0,27.6390625,6.3381,174.62095,829.271,22.28,0.9476,8,,,,,0
99.0,99.0,27.6121,6.5913,180.89075,840.6067,22.325,0.95475,8,,,,,0
99.8,99.8,27.601575,6.4785,177.2238,850.5293,22.37,0.9549375,8,,,,,0
