SetDutyCycle,MeasuredDutyCycle,Voltage_V,Current_A,Power_W,Energy_J,Temperature_C,MotorCurrent_A,SamplesCount,Dyno_RPM,Car_RPM,Dyno_Torque_Nm,Dyno_Power_W,DynoSamplesCount
0.0,0.0,27.9140625,0.0003,0.0730125,0.4531,21.825,0.2246,8,0.0,0.0,-0.001,0.0,2
1.0,1.0,27.911725,0.0264,0.721975,3.3792,21.75,0.37401249999999997,8,0.0,0.0,-0.0225,0.0,2
2.0,2.0,27.9094,0.0747,2.1112125,10.4525,21.75,0.509,8,0.0,0.0,0.6725000000000001,0.0,2
3.0,3.0,27.900387499999997,0.1647,4.5867125,23.0246,21.75,0.7137,8,0.0,0.0,2.2465,0.0,2
4.0,4.0,27.888828571428572,0.2941714285714286,8.184671428571429,38.3846,21.801428571428573,0.9139571428571429,7,0.0,0.0,3.8225,0.0,2
5.0,5.0,27.874225,0.4548,12.6537625,57.2621,21.87,1.115825,8,0.0,0.0,4.406000000000001,0.0,2
6.0,6.0,27.869500000000002,0.47909999999999997,13.41455,64.9498,21.87,0.9670375,8,4.800000000000001,5.1,4.364,2.195,2
7.0,7.0,27.8625,0.5436,15.287812500000001,73.8586,21.87,0.9253125,8,9.59,10.205,4.155,4.17,2
8.0,8.0,27.851937500000002,0.6213,17.3064625,85.225,21.87,0.9261375000000001,8,11.195,11.91,4.106,4.824999999999999,2
9.0,9.0,27.84495,0.6906,19.218725,96.791,21.87,0.9048625,8,14.39,15.31,4.064500000000001,6.115,2
10.0,10.0,27.8351625,0.7797000000000001,21.730325,108.5184,21.87,0.917975,8,17.59,18.715000000000003,4.0775,7.51,2
11.0,11.0,27.822785714285715,0.8622857142857142,24.005757142857142,115.2077,21.981428571428573,0.9253428571428571,7,19.19,20.415,4.0600000000000005,8.16,2
12.0,12.0,27.8144625,0.9447,26.25625,126.9274,22.0,0.9135375,8,23.990000000000002,25.52,4.0305,10.129999999999999,2
13.0,13.0,27.804650000000002,1.0185,28.5076875,138.7469,22.0,0.91465,8,27.205,28.939999999999998,4.038,11.5,2
14.0,14.0,27.7933875,1.1103,31.1037625,152.087,22.0,0.91565,8,30.384999999999998,32.32,4.054,12.899999999999999,2
15.0,15.0,27.78205,1.2003,33.1568375,163.8221,22.0,0.9231125,8,31.98,34.025000000000006,4.0535,13.575,2
20.0,20.0,27.736725,1.6848,46.53905,230.6227,22.03,0.94295,8,47.98,51.04,4.024,20.215,2
25.0,25.0,27.6921875,2.0928,57.834175,291.3715,22.105,0.932675,8,62.335,66.315,4.0215,26.25,2
30.0,30.0,27.646475,2.5098000000000003,69.37525,352.1434,22.12,0.951925,8,76.76,81.66,4.015499999999999,32.28,2
35.0,35.0,27.59845,2.9346,81.207225,412.6694,22.1525,0.9604874999999999,8,91.15,96.97,4.000500000000001,38.19,2
40.0,40.0,27.55222857142857,3.3432,91.97471428571428,448.0896,22.25,0.9760142857142856,7,106.61333333333333,113.41666666666667,3.9996666666666667,44.65,3
45.0,45.0,27.51027142857143,3.6257142857142854,99.75867142857143,499.9373,22.301428571428573,0.9552857142857143,7,119.94,127.59,3.997,50.205,2
50.0,50.0,27.4683625,4.0311,110.7123625,549.8957,22.37,0.9556375,8,134.33,142.905,4.002000000000001,56.305,2
55.0,55.0,27.422262500000002,4.3785,120.611475,597.1584,22.37,0.96935,8,150.32,159.92,4.01,63.125,2
60.0,60.0,27.3859375,4.6296,126.08556250000001,641.7638,22.5,0.9466875,8,164.81,175.325,4.0255,69.48,2
65.0,65.0,27.3441375,4.9242,134.70785,685.3018,22.515,0.9603125,8,178.04333333333332,189.40666666666667,4.037333333333334,75.27,3
70.0,70.0,27.2988375,5.2371,144.4709,728.3712,22.62,0.980425,8,191.9,204.15,4.058,81.555,2
75.0,75.0,27.255075,5.6442,154.8395375,775.3267,22.66875,1.0022,8,206.29,219.45999999999998,4.0725,87.98,2
80.0,80.0,27.253925,5.4027,147.1902375,815.3242,22.75,0.9465749999999999,8,222.29,236.47500000000002,4.095000000000001,95.325,2
85.0,85.0,27.18205,6.1332,166.68,855.1373,22.87,1.0049124999999999,8,236.68,251.785,4.114,101.96000000000001,2
86.0,86.0,27.162487499999997,6.1176,165.5978375,838.5408,22.87,1.006125,8,238.81333333333336,254.05666666666664,4.139333333333333,103.52,3
87.0,87.0,27.143328571428572,6.274971428571428,170.32224285714284,805.0406,23.0,1.0229857142857142,7,241.48000000000002,256.89,4.1585,105.155,2
88.0,88.0,27.139714285714287,6.118628571428571,169.8181,818.2886,23.0,0.9844142857142858,7,244.805,260.43,4.1754999999999995,107.035,2
89.0,89.0,27.1105625,6.402,173.92115,830.0774,23.0,1.0121499999999999,8,246.27,261.99,4.2005,108.33000000000001,2
90.0,90.0,27.0996125,6.4251000000000005,172.6537875,844.5926,23.105,1.0108625,8,249.745,265.68,4.217499999999999,110.30000000000001,2
91.0,91.0,27.0871125,6.4188,173.484275,855.3139,23.12,1.0075375,8,252.67,268.8,4.2425,112.25,2
92.0,92.0,27.0562375,6.5763,179.716075,867.3946,23.12,1.0118875,8,254.40999999999997,270.65,4.2605,113.5,2
93.0,93.0,27.041425,6.6857999999999995,182.3259,881.641,23.16875,1.0478125,8,257.325,273.75,4.2825,115.405,2
94.0,94.0,27.030862499999998,6.8172,184.1610625,897.577,23.25,1.0439,8,260.66499999999996,277.3,4.316,117.81,2
95.0,95.0,27.00975,6.8058,183.80136249999998,913.9584,23.25,1.0399625000000001,8,262.405,279.155,4.348,119.47999999999999,2
96.0,96.0,26.9918125,6.9717,187.7217,931.6454,23.34,1.0433875,8,265.46,282.41,4.383,121.85,2
97.0,97.0,26.973214285714285,6.951428571428571,188.5858142857143,903.0451,23.37,1.0442857142857143,7,268.66,285.81,4.415,124.21000000000001,2
98.0,98.0,26.954028571428573,7.074171428571428,189.31151428571428,924.6643,23.37,1.0511857142857142,7,270.26,287.51,4.443,125.745,2
99.0,99.0,26.926975,7.2621,194.688175,938.496,23.4675,1.0591125,8,273.46000000000004,290.90999999999997,4.479,128.26,2
99.8,99.8,26.9203125,7.3401,198.7412375,955.177,23.5,1.0595125,8,276.81,294.475,4.5005,130.45499999999998,2
