Voltage,Current,Power,Energy,Temperature,MotorVoltage,MotorCurrent,MeasuredDutyCycle,TargetDutyCycle,WheelSpeed,Phase,Repeat,CurrentLimit_A,Timestamp_s
20.7,0.094,1.93,2221.194,20.25,6.652,0.5842,100.0,100.0,0.0,Accelerating,1,20.0,0.13285160064697266
20.7,0.091,1.889,2221.594,20.25,6.856,0.6149,100.0,100.0,1.884,Accelerating,1,20.0,0.32582664489746094
20.7,0.096,1.965,0.061,20.25,6.943,0.6133,100.0,100.0,1.884,Accelerating,1,20.0,0.3865699768066406
20.697,0.094,1.949,0.261,20.25,6.856,0.6149,100.0,100.0,1.884,Accelerating,1,20.0,0.47463083267211914
20.7,0.098,2.027,0.468,20.25,6.827,0.6133,100.0,100.0,1.884,Accelerating,1,20.0,0.5065820217132568
20.7,0.098,2.027,0.676,20.25,6.74,0.6165,100.0,100.0,1.884,Accelerating,1,20.0,0.5675160884857178
20.7,0.074,1.527,0.876,20.25,6.798,0.6125,100.0,100.0,1.884,Accelerating,1,20.0,0.6167659759521484
20.7,0.082,1.683,1.075,20.37,6.885,0.6181,100.0,100.0,1.884,Accelerating,1,20.0,0.6851954460144043
20.7,0.086,1.81,1.275,20.25,6.856,0.6149,100.0,100.0,1.884,Accelerating,1,20.0,0.7435612678527832
20.697,0.094,1.918,1.475,20.25,6.798,0.61,100.0,100.0,1.884,Accelerating,1,20.0,0.8185968399047852
20.7,0.094,1.919,1.674,20.25,6.856,0.6342,100.0,100.0,1.884,Accelerating,1,20.0,0.8864152431488037
20.7,0.089,1.825,1.882,20.25,6.827,0.6116,100.0,100.0,1.884,Accelerating,1,20.0,0.9869654178619385
20.697,0.089,1.856,2.081,20.25,6.71,0.6052,100.0,100.0,1.884,Accelerating,1,20.0,1.098153829574585
20.7,0.094,2.027,2.289,20.25,7.001,0.6181,100.0,100.0,1.884,Accelerating,1,20.0,1.1958932876586914
20.697,0.094,1.95,2.488,20.25,6.681,0.6125,100.0,100.0,1.884,Accelerating,1,20.0,1.3094801902770996
