Voltage,Current,Power,Energy,Temperature,MotorVoltage,MotorCurrent,MeasuredDutyCycle,TargetDutyCycle,WheelSpeed,Phase,Repeat,CurrentLimit_A,Timestamp_s
28.228,0.072,2.053,781.21,20.0,6.449,0.5842,0.0,0.0,0.0,Accelerating,1,15.0,0.11547160148620605
28.228,0.074,2.074,781.425,20.0,6.754,0.6084,0.0,0.0,0.0,Accelerating,1,15.0,0.1961193084716797
28.228,0.072,2.022,781.632,20.0,6.74,0.6052,0.0,0.0,0.0,Accelerating,1,15.0,0.32340049743652344
28.228,0.062,1.787,0.023,20.0,6.841,0.61,0.0,0.0,0.0,Accelerating,1,15.0,0.3800089359283447
28.228,0.086,2.426,0.238,20.0,6.856,0.6777,1.0,100.0,0.0,Accelerating,1,15.0,0.42670106887817383
28.197,0.97,27.341,1.16,20.0,10.231,1.1725,12.0,100.0,0.0,Accelerating,1,15.0,0.43869519233703613
28.181,1.253,35.316,4.362,20.0,12.98,1.0726,22.0,100.0,0.0,Accelerating,1,15.0,0.46555233001708984
28.159,2.016,56.771,9.638,20.12,15.802,1.0259,33.0,100.0,0.0,Accelerating,1,15.0,0.4963715076446533
28.138,2.88,68.338,16.742,20.12,19.453,1.0492,43.0,100.0,0.0,Accelerating,1,15.0,0.5669465065002441
28.103,3.084,86.655,25.505,20.12,21.853,1.013,54.0,100.0,0.942,Accelerating,1,15.0,0.6573784351348877
28.087,3.634,102.033,35.743,20.12,24.253,1.0621,64.0,100.0,0.942,Accelerating,1,15.0,0.7697873115539551
28.087,3.696,103.781,46.94,20.12,27.599,1.1806,75.0,100.0,0.942,Accelerating,1,15.0,0.8697009086608887
28.056,4.543,116.383,59.658,20.12,30.217,1.204,85.0,100.0,0.942,Accelerating,1,15.0,0.9759390354156494
28.047,4.512,126.56,72.914,20.25,33.126,1.179,96.0,100.0,0.942,Accelerating,1,15.0,1.0797650814056396
28.122,2.702,75.959,85.11,20.25,34.203,0.9372,100.0,100.0,0.942,Accelerating,1,15.0,1.1855614185333252
28.131,2.196,61.782,92.114,20.12,34.261,0.8566,100.0,100.0,0.942,Accelerating,1,15.0,1.2971811294555664
28.134,2.482,69.828,98.696,20.12,34.348,0.7793,100.0,100.0,0.942,Accelerating,1,15.0,1.3997447490692139
28.141,2.098,58.994,105.147,20.12,34.319,0.8462,100.0,100.0,0.942,Accelerating,1,15.0,1.5109970569610596
28.141,2.196,61.824,111.59,20.12,34.377,0.8639,100.0,100.0,0.942,Accelerating,1,15.0,1.6094152927398682
28.138,2.09,58.84,118.264,20.12,34.348,0.9114,100.0,100.0,0.942,Accelerating,1,15.0,1.7134251594543457
28.131,2.472,69.564,124.961,20.12,34.377,0.8695,100.0,100.0,0.942,Accelerating,1,15.0,1.8187596797943115
28.131,2.297,65.895,131.804,20.12,34.145,0.822,100.0,100.0,0.942,Accelerating,1,15.0,1.9296364784240723
28.138,2.628,73.963,138.371,20.12,34.406,0.8486,100.0,100.0,0.942,Accelerating,1,15.0,2.031299352645874
28.141,1.999,56.284,144.73,20.12,34.29,0.8026,100.0,100.0,0.942,Accelerating,1,15.0,2.141731023788452
28.144,2.141,60.262,150.966,20.12,34.29,0.8196,100.0,100.0,0.942,Accelerating,1,15.0,2.2397024631500244
28.138,2.095,58.986,157.379,20.12,34.261,0.8679,100.0,100.0,0.942,Accelerating,1,15.0,2.349663257598877
28.128,2.208,62.117,163.738,20.12,34.203,0.8115,100.0,100.0,0.942,Accelerating,1,15.0,2.4510178565979004
28.134,2.023,56.925,170.419,20.12,34.261,0.855,100.0,100.0,0.942,Accelerating,1,15.0,2.5638537406921387
28.128,2.494,70.135,176.993,20.12,34.203,0.8042,100.0,100.0,15.072,Accelerating,1,15.0,2.668423652648926
28.138,1.98,55.68,183.429,20.12,34.406,0.8405,100.0,100.0,15.072,Accelerating,1,15.0,2.7682154178619385
