Voltage,Current,Power,Energy,Temperature,MotorVoltage,MotorCurrent,MeasuredDutyCycle,TargetDutyCycle,WheelSpeed,Phase,Repeat,CurrentLimit_A,Timestamp_s,Dyno_Timestamp_ms,Dyno_Speed_kmh,Car_Speed_kmh,Dyno_Torque_Nm,Dyno_Power_W
26.969,0.077,2.063,2761.006,19.25,0.144,0.5842,0.0,0.0,0.0,Accelerating,1.0,25.0,0.10447096824645996,,,,,
26.969,0.077,2.083,2761.213,19.12,0.204,0.5859,0.0,0.0,0.0,Accelerating,1.0,25.0,0.1398637294769287,,,,,
26.969,0.077,2.083,2761.413,19.25,0.204,0.5826,0.0,0.0,0.0,Accelerating,1.0,25.0,0.22090768814086914,,,,,
26.969,0.07,1.845,0.0,19.12,0.264,0.5851,0.0,0.0,0.0,Accelerating,1.0,25.0,0.2586953639984131,,,,,
26.972,0.07,1.845,0.207,19.25,-0.006,0.6229,1.0,100.0,0.0,Accelerating,1.0,25.0,0.2813577651977539,,,,,
26.931,1.2,32.319,1.121,19.25,2.962,1.727,11.0,100.0,0.0,Accelerating,1.0,25.0,0.3107264041900635,,,,,
26.837,3.638,97.636,9.37,19.25,5.66,3.2541,22.0,100.0,0.0,Accelerating,1.0,25.0,0.34672093391418457,,,,,
26.778,4.81,128.784,21.304,19.25,7.353,3.3,33.0,100.0,0.0,Accelerating,1.0,25.0,0.4666135311126709,,,,,
26.744,5.729,153.226,36.165,19.37,7.608,3.3,43.0,100.0,0.0,Accelerating,1.0,25.0,0.5766966342926025,,,,,
26.703,6.581,175.989,53.914,19.37,8.897,3.2275,54.0,100.0,0.0,Accelerating,1.0,25.0,0.6607520580291748,,,,,
26.65,8.086,212.442,74.665,19.37,13.244,3.1106,65.0,100.0,0.0,Accelerating,1.0,25.0,0.7669150829315186,,,,,
26.616,8.506,226.436,97.597,19.5,11.715,3.2952,75.0,100.0,0.0,Accelerating,1.0,25.0,0.8748960494995117,,,,,
26.575,9.65,256.455,122.941,19.62,13.484,3.2984,86.0,100.0,0.0,Accelerating,1.0,25.0,0.9789230823516846,,,,,
26.528,10.934,289.972,152.018,19.75,14.683,3.3,96.0,100.0,0.0,Accelerating,1.0,25.0,1.0836124420166016,,,,,
26.481,11.712,310.076,183.468,19.75,17.711,3.3,100.0,100.0,0.0,Accelerating,1.0,25.0,1.1875405311584473,,,,,
26.441,12.78,337.931,217.382,20.0,15.507,3.2363,100.0,100.0,0.0,Accelerating,1.0,25.0,1.2902863025665283,,,,,
26.4,13.366,352.905,254.5,20.12,17.951,3.1646,100.0,100.0,0.0,Accelerating,1.0,25.0,1.402787208557129,,,,,
26.384,13.932,367.564,291.848,20.25,19.644,3.2807,100.0,100.0,0.0,Accelerating,1.0,25.0,1.5020239353179932,,,,,
26.372,14.203,374.562,330.378,20.37,19.749,3.1549,100.0,100.0,0.0,Accelerating,1.0,25.0,1.6156365871429443,,,,,
26.356,14.453,380.885,369.838,20.5,21.428,3.2363,100.0,100.0,0.0,Accelerating,1.0,25.0,1.7099268436431885,,,,,
,,,,,,,,,,,,,1.7736735343933105,1782.0,2.09982,2.234492,4.531,11.25
26.337,15.221,385.677,411.249,20.5,21.428,2.9905,100.0,100.0,0.0,Accelerating,1.0,25.0,1.864999532699585,,,,,
26.328,14.746,388.225,451.692,20.62,21.308,2.9019,100.0,100.0,0.0,Accelerating,1.0,25.0,1.9497349262237549,,,,,
26.334,14.609,384.722,493.432,20.75,22.387,3.0808,100.0,100.0,0.0,Accelerating,1.0,25.0,2.0282950401306152,,,,,
26.331,15.014,395.245,533.683,20.75,21.878,2.9873,100.0,100.0,0.0,Accelerating,1.0,25.0,2.1398820877075195,,,,,
26.341,14.026,369.414,573.619,20.75,23.931,3.0631,100.0,100.0,0.0,Accelerating,1.0,25.0,2.2374744415283203,,,,,
26.316,15.091,397.121,614.991,20.75,24.156,3.2307,100.0,100.0,0.0,Accelerating,1.0,25.0,2.343432664871216,,,,,
26.181,17.971,479.076,660.257,20.87,20.723,2.175,100.0,100.0,12.364,Accelerating,1.0,25.0,2.4527933597564697,,,,,
26.2,16.889,443.056,707.174,21.12,20.049,2.146,100.0,100.0,12.364,Accelerating,1.0,25.0,2.552964210510254,,,,,
26.144,18.559,485.207,756.211,21.25,26.194,2.86,100.0,100.0,12.364,Accelerating,1.0,25.0,2.661931037902832,,,,,
,,,,,,,,,,,,,2.7234957218170166,2720.0,8.847596,9.412863999999999,4.757,49.75
26.281,15.098,396.812,802.406,21.37,26.269,2.4377,100.0,100.0,12.364,Accelerating,1.0,25.0,2.8152339458465576,,,,,
26.362,13.31,350.886,842.281,21.12,26.434,2.113,100.0,100.0,12.364,Accelerating,1.0,25.0,2.8769710063934326,,,,,
