SetDutyCycle,MeasuredDutyCycle,Voltage_V,Current_A,Power_W,Energy_J,Temperature_C,MotorCurrent_A,SamplesCount,Dyno_RPM,Car_RPM,Dyno_Torque_Nm,Dyno_Power_W,DynoSamplesCount
0.0,0.0,27.93595,-0.0026999999999999997,0.1238375,0.4454,23.37,0.2017,8,0.0,0.0,0.001,0.0,2
1.0,1.0,27.934,0.0246,0.6764875,3.6557,23.37,0.337775,8,0.0,0.0,-0.002,0.0,2
2.0,2.0,27.9281,0.0984,2.7413,12.2266,23.37,0.5258714285714285,7,0.0,0.0,1.108,0.0,2
3.0,3.0,27.9188,0.2157,6.00835,27.8938,23.355,0.7563,8,0.0,0.0,2.947,0.0,2
4.0,4.0,27.903499999999998,0.3876,10.7790125,51.2563,23.34,0.976,8,0.0,0.0,4.5634999999999994,0.0,2
5.0,5.0,27.889049999999997,0.5427,15.097150000000001,72.4531,23.355,1.1154,8,0.0,0.0,5.471,0.0,2
6.0,6.0,27.8753875,0.6774,18.9622125,93.289,23.325,1.145225,8,3.2,3.4,5.5425,1.86,2
7.0,7.0,27.8625,0.8118,22.5375,108.6336,23.355,1.1535875,8,6.4,6.8,5.3485,3.58,2
8.0,8.0,27.851937500000002,0.9,25.06285,124.2547,23.355,1.084575,8,9.6,10.21,5.285,5.3100000000000005,2
9.0,9.0,27.839837499999998,1.0185,28.2707625,140.6899,23.355,1.072,8,12.79,13.61,5.1690000000000005,6.93,2
10.0,10.0,27.826549999999997,1.1466,32.241775,157.9622,23.37,1.069075,8,15.99,17.01,5.165333333333333,8.65,3
11.0,11.0,27.811157142857144,1.2733714285714284,35.41755714285714,166.9786,23.37,1.0529142857142857,7,17.6,18.725,5.146,9.5,2
12.0,12.0,27.799225,1.3971,38.6240375,186.3859,23.37,1.058575,8,22.39,23.82,5.1485,12.07,2
13.0,13.0,27.783975,1.5027,41.7484875,204.1728,23.37,1.0620125,8,23.990000000000002,25.52,5.134,12.895,2
14.0,14.0,27.7675625,1.6431,46.318625,221.9981,23.37,1.0540625,8,27.189999999999998,28.92,5.0995,14.52,2
15.0,15.0,27.7535375,1.8081,49.99905,240.6451,23.37,1.069675,8,30.926666666666666,32.903333333333336,5.102333333333333,16.53,3
20.0,20.0,27.695725,2.3781,65.9968375,335.0477,23.37,1.0359375,8,46.379999999999995,49.34,5.022,24.384999999999998,2
25.0,25.0,27.63945,3.0009,82.95175,424.4736,23.48375,1.048425,8,60.77,64.65,5.015,31.915,2
30.0,30.0,27.5781125,3.6882,101.71855,509.568,23.5,1.069475,8,73.6,78.30000000000001,5.024,38.724999999999994,2
35.0,35.0,27.514271428571426,4.26,117.47274285714286,562.1299,23.602857142857143,1.0855142857142857,7,89.6,95.32,5.0335,47.230000000000004,2
40.0,40.0,27.455342857142856,4.786971428571428,131.41302857142858,636.649,23.62,1.1040142857142858,7,104.52,111.18666666666667,5.061,55.38999999999999,3
45.0,45.0,27.403925,5.2344,143.88558749999999,705.1776,23.7175,1.1187375,8,118.34,125.89,5.1,63.205,2
50.0,50.0,27.3535125,5.6487,154.92835,767.977,23.75,1.12035,8,132.805,141.28,5.125500000000001,71.285,2
55.0,55.0,27.29375,6.2268,169.9371,826.7443,23.87,1.17,8,147.12,156.515,5.1765,79.75,2
60.0,60.0,27.2570375,6.4932,176.6743375,879.0605,23.91875,1.1688125,8,163.12,173.53,5.2165,89.10499999999999,2
65.0,65.0,27.21875,6.7218,183.49476249999998,924.5491,24.0,1.156625,8,177.04,188.34333333333333,5.262666666666667,97.57000000000001,3
70.0,70.0,27.1773625,7.1030999999999995,192.34385,969.2851,24.12,1.1723375,8,191.9,204.15,5.3165,106.84,2
75.0,75.0,27.1421875,7.3809,200.3045375,1009.6666,24.25,1.1682,8,206.295,219.45999999999998,5.3665,115.935,2
80.0,80.0,27.0965,7.7553,209.588225,1050.2246,24.37,1.198725,8,219.09,233.07,5.4335,124.67,2
85.0,85.0,27.07857142857143,7.829828571428571,212.0168857142857,1037.1379,24.37,1.1654857142857142,7,235.07999999999998,250.07999999999998,5.497999999999999,135.345,2
86.0,86.0,27.055075,8.0364,216.88128749999998,1029.2506,24.5,1.1935875,8,236.67999999999998,251.78333333333333,5.564,137.90333333333334,3
89.0,89.0,27.02385,8.072099999999999,218.1529875,1071.767,24.5,1.1954125,8,244.675,260.28999999999996,5.6365,144.41500000000002,2
92.0,92.0,26.9992125,8.31,224.5064375,1105.2979,24.62,1.20265,8,254.26999999999998,270.5,5.7,151.78,2
95.0,95.0,26.9640625,8.5335,229.6989625,1142.2003,24.66875,1.239625,8,262.26,279.0,5.774,158.57999999999998,2
98.0,98.0,26.92225,8.94,240.6993,1188.1805,24.75,1.24705,8,270.26,287.51,5.834,165.11,2
99.8,99.8,26.8851375,9.0909,244.4434625,1217.9558,24.87,1.2535125,8,275.06,292.61333333333334,5.914999999999999,170.37666666666667,3
