Voltage,Current,Power,Energy,Temperature,MotorCurrent,MeasuredDutyCycle,TargetDutyCycle,Phase,Repeat,CurrentLimit_A,Dyno_Timestamp_ms,Dyno_Speed_kmh,Car_Speed_kmh,Dyno_Torque_Nm,Dyno_Power_W
26.437,0.0,0.106,21975.752,19.62,0.8913,0.0,100.0,Accelerating,1.0,10.0,,,,,
26.372,1.649,43.502,22008.653,19.62,1.8889,50.5,100.0,Accelerating,1.0,10.0,,,,,
,,,,,,,,,,,1782.0,1.312166,1.396336,4.644,7.2
26.35,2.069,54.489,22058.995,19.62,1.8261,100.0,100.0,Accelerating,1.0,10.0,,,,,
,,,,,,,,,,,2720.0,2.7466,2.9220279999999996,4.707,15.28
26.337,2.28,60.027,22117.478,19.62,1.7705,100.0,100.0,Accelerating,1.0,10.0,,,,,
,,,,,,,,,,,3658.0,3.683988,3.9187779999999997,4.729,20.59
26.325,2.477,65.223,22181.484,19.62,1.7769,100.0,100.0,Accelerating,1.0,10.0,,,,,
,,,,,,,,,,,4596.0,4.817182,5.124624,4.745,27.02
26.316,2.621,68.942,22249.421,19.75,1.7479,100.0,100.0,Accelerating,1.0,10.0,,,,,
,,,,,,,,,,,5534.0,5.100702,5.425864,4.748,28.62
26.309,2.712,71.349,22320.223,19.75,1.7092,100.0,100.0,Accelerating,1.0,10.0,,,,,
,,,,,,,,,,,6472.0,5.384222,5.72799,4.775,30.39
26.303,2.779,73.082,22393.029,19.75,1.7447,100.0,100.0,Accelerating,1.0,10.0,,,,,
,,,,,,,,,,,7410.0,5.667742,6.029229999999999,4.794,32.11
26.297,2.851,74.988,22467.456,19.75,1.6738,100.0,100.0,Accelerating,1.0,10.0,,,,,
,,,,,,,,,,,8347.0,6.240984,6.639684,4.797,35.39
26.291,2.902,76.284,22543.058,19.75,1.735,100.0,100.0,Accelerating,1.0,10.0,,,,,
,,,,,,,,,,,9285.0,6.233896,6.631709999999999,4.801,35.37
26.288,2.928,76.944,22620.027,19.75,1.7116,100.0,100.0,Accelerating,1.0,10.0,,,,,
,,,,,,,,,,,10223.0,6.233896,6.6325959999999995,4.834,35.62
26.281,2.962,77.827,22697.664,19.75,1.7221,100.0,100.0,Accelerating,1.0,10.0,,,,,
,,,,,,,,,,,11161.0,6.517416,6.933836,4.861,37.45
26.278,2.978,78.233,22775.662,19.75,1.6979,100.0,100.0,Accelerating,1.0,10.0,,,,,
,,,,,,,,,,,12099.0,6.517416,6.933836,4.825,37.17
26.275,3.0,78.83,22854.336,19.75,1.7407,100.0,100.0,Accelerating,1.0,10.0,,,,,
,,,,,,,,,,,13037.0,6.517416,6.933836,4.862,37.45
,,,,,,,,,,,13974.0,6.8080240000000005,7.24305,4.894,39.38
26.272,3.01,79.069,22933.409,19.75,1.6818,100.0,100.0,Accelerating,1.0,10.0,,,,,
,,,,,,,,,,,14912.0,6.800936,7.235075999999999,4.858,39.05
26.269,3.024,79.438,23012.928,19.75,1.739,100.0,100.0,Accelerating,1.0,10.0,,,,,
,,,,,,,,,,,15850.0,6.800936,7.235075999999999,4.911,39.47
26.266,3.036,79.728,23092.393,19.75,1.7044,100.0,100.0,Accelerating,1.0,10.0,,,,,
,,,,,,,,,,,16788.0,6.800936,7.235075999999999,4.887,39.28
26.266,3.01,79.069,23171.858,19.75,1.727,100.0,100.0,Accelerating,1.0,10.0,,,,,
,,,,,,,,,,,17726.0,6.800936,7.235075999999999,4.895,39.35
26.263,3.026,79.5,23251.346,19.75,1.6963,100.0,100.0,Accelerating,1.0,10.0,,,,,
,,,,,,,,,,,18664.0,6.800936,7.235075999999999,4.94,39.71
26.263,3.014,79.152,23330.711,19.75,1.7253,100.0,100.0,Accelerating,1.0,10.0,,,,,
,,,,,,,,,,,19601.0,6.800936,7.235075999999999,4.9,39.39
26.259,3.017,79.203,23410.068,19.75,1.7108,100.0,100.0,Accelerating,1.0,10.0,,,,,
,,,,,,,,,,,20539.0,6.8080240000000005,7.24305,4.95,39.83
