Voltage,Current,Power,Energy,Temperature,MotorCurrent,MeasuredDutyCycle,TargetDutyCycle,Phase,Repeat,CurrentLimit_A,Timestamp_s,Dyno_Timestamp_ms,Dyno_Speed_kmh,Car_Speed_kmh,Dyno_Torque_Nm,Dyno_Power_W
26.894,1.356,36.462,10.691,20.0,2.0437,23.5,100.0,Accelerating,1.0,10.0,0.5892696380615234,,,,,
26.872,1.783,47.911,52.239,20.0,1.8623,73.5,100.0,Accelerating,1.0,10.0,1.5892407894134521,,,,,
,,,,,,,,,,,1.8767626285552979,1782.0,0.7876540000000001,0.838156,4.883,4.54
26.859,1.946,52.591,103.442,20.12,1.8253,100.0,100.0,Accelerating,1.0,10.0,2.5946977138519287,,,,,
,,,,,,,,,,,2.8222551345825195,2720.0,2.44093,2.596866,4.775,13.78
26.85,2.194,58.198,160.343,20.12,1.7842,100.0,100.0,Accelerating,1.0,10.0,3.5981857776641846,,,,,
,,,,,,,,,,,3.753047466278076,3658.0,2.833428,3.0150580000000002,4.819,16.14
26.841,2.278,61.141,220.769,20.12,1.7866,100.0,100.0,Accelerating,1.0,10.0,4.6125500202178955,,,,,
,,,,,,,,,,,4.694915056228638,4596.0,3.967508,4.2200180000000005,4.841,22.7
26.834,2.474,64.985,283.884,20.12,1.7947,100.0,100.0,Accelerating,1.0,10.0,5.609997749328613,,,,,
,,,,,,,,,,,5.632376670837402,5534.0,4.251028,4.522144,4.829,24.26
,,,,,,,,,,,6.573254823684692,6472.0,4.251028,4.522144,4.855,24.39
26.831,2.345,62.891,348.472,20.12,1.7479,100.0,100.0,Accelerating,1.0,10.0,6.622467756271362,,,,,
,,,,,,,,,,,7.5074756145477295,7410.0,4.538977999999999,4.8286999999999995,4.92,26.39
26.825,2.46,65.988,414.835,20.12,1.7769,100.0,100.0,Accelerating,1.0,10.0,7.626690626144409,,,,,
,,,,,,,,,,,8.449791193008423,8347.0,4.817182,5.124624,4.909,27.95
26.819,2.431,65.177,481.751,20.12,1.7326,100.0,100.0,Accelerating,1.0,10.0,8.631089210510254,,,,,
,,,,,,,,,,,9.383869409561157,9285.0,4.817182,5.124624,4.895,27.87
26.816,2.434,65.282,549.105,20.12,1.7366,100.0,100.0,Accelerating,1.0,10.0,9.639673948287964,,,,,
,,,,,,,,,,,10.320348262786865,10223.0,4.817182,5.124624,4.898,27.89
26.806,2.592,69.608,617.065,20.12,1.7213,100.0,100.0,Accelerating,1.0,10.0,10.63629937171936,,,,,
,,,,,,,,,,,11.258198261260986,11161.0,5.100702,5.42675,4.918,29.65
26.812,2.484,66.261,685.041,20.12,1.7141,100.0,100.0,Accelerating,1.0,10.0,11.64880084991455,,,,,
,,,,,,,,,,,12.196709871292114,12099.0,5.100702,5.425864,4.938,29.77
26.803,2.592,69.501,752.963,20.12,1.7205,100.0,100.0,Accelerating,1.0,10.0,12.644247055053711,,,,,
,,,,,,,,,,,13.137062549591064,13037.0,5.100702,5.425864,4.957,29.89
26.806,2.424,64.992,820.792,20.12,1.7245,100.0,100.0,Accelerating,1.0,10.0,13.656161308288574,,,,,
,,,,,,,,,,,14.077113389968872,13974.0,5.100702,5.425864,4.967,29.94
26.797,2.638,70.692,888.676,20.12,1.7294,100.0,100.0,Accelerating,1.0,10.0,14.656370878219604,,,,,
,,,,,,,,,,,15.017501592636108,14912.0,4.8224979999999995,5.130826,4.97,28.33
26.803,2.45,65.673,956.452,20.12,1.7076,100.0,100.0,Accelerating,1.0,10.0,15.66381025314331,,,,,
,,,,,,,,,,,15.954651117324829,15850.0,5.100702,5.425864,4.97,29.96
26.797,2.63,70.485,1024.351,20.12,1.7399,100.0,100.0,Accelerating,1.0,10.0,16.66871929168701,,,,,
,,,,,,,,,,,16.886541843414307,16788.0,5.100702,5.425864,4.97,29.96
26.797,2.566,68.746,1091.712,20.12,1.735,100.0,100.0,Accelerating,1.0,10.0,17.6757595539093,,,,,
,,,,,,,,,,,17.82799983024597,17725.0,4.817182,5.124624,4.977,28.34
26.797,2.484,66.552,1159.365,20.25,1.731,100.0,100.0,Accelerating,1.0,10.0,18.67595386505127,,,,,
,,,,,,,,,,,18.766144514083862,18663.0,5.106018,5.432066,4.998,30.17
26.797,2.503,67.099,1226.742,20.25,1.7463,100.0,100.0,Accelerating,1.0,10.0,19.679601430892944,,,,,
,,,,,,,,,,,19.706958532333374,19601.0,4.817182,5.124624,5.023,28.6
,,,,,,,,,,,20.647703409194946,20539.0,5.100702,5.42675,5.035,30.35
26.791,2.544,68.143,1293.988,20.25,1.7463,100.0,100.0,Accelerating,1.0,10.0,20.691357612609863,,,,,
,,,,,,,,,,,21.579532623291016,21477.0,4.817182,5.124624,5.031,28.64
26.897,0.005,0.121,1330.383,20.12,0.8913,0.0,0.0,Accelerating,1.0,10.0,21.692335844039917,,,,,
,,,,,,,,,,,22.52284526824951,22414.0,4.533662,4.823384,4.45,23.85
26.9,0.002,0.06,1330.476,20.12,0.8921,0.0,0.0,Accelerating,1.0,10.0,22.69658064842224,,,,,
,,,,,,,,,,,23.45783233642578,23352.0,0.85056,0.904606,-0.107,-0.11
26.903,-0.01,0.242,1330.56,20.12,0.8929,0.0,0.0,Accelerating,1.0,10.0,23.705840349197388,,,,,
,,,,,,,,,,,24.392324924468994,24290.0,0.0,0.0,-0.039,0.0
26.909,0.0,0.02,1330.644,20.12,0.8881,0.0,0.0,Accelerating,1.0,10.0,24.704562425613403,,,,,
,,,,,,,,,,,25.33193278312683,25228.0,0.0,0.0,-0.037,0.0
26.909,-0.007,0.222,1330.744,20.12,0.8921,0.0,0.0,Accelerating,1.0,10.0,25.708775281906128,,,,,
,,,,,,,,,,,26.270900011062622,26166.0,0.0,0.0,-0.035,0.0
26.913,0.0,0.02,1330.829,20.12,0.8929,0.0,0.0,Accelerating,1.0,10.0,26.716858386993408,,,,,
,,,,,,,,,,,27.203364610671997,27104.0,0.0,0.0,-0.035,0.0
