SetDutyCycle,MeasuredDutyCycle,Voltage_V,Current_A,Power_W,Energy_J,Temperature_C,MotorCurrent_A,SamplesCount
0.0,0.0,25.852712500000003,0.0021,0.1452625,0.4224,20.0,0.2242,8
1.0,1.0,25.849612500000003,0.0216,0.556625,2.5037,20.0,0.2552375,8
2.0,2.0,25.8441875,0.0417,1.0746,5.0074,20.0,0.3081125,8
3.0,3.0,25.8429875,0.054599999999999996,1.3749,6.7738,20.0,0.2748,8
4.0,4.0,25.83905,0.0738,1.942925,9.4618,20.0,0.2809625,8
5.0,5.0,25.834374999999998,0.1026,2.63435,12.5645,20.0,0.2876875,8
6.0,6.0,25.8285,0.129,3.325325,15.9053,20.0,0.2909125,8
7.0,7.0,25.82345,0.1509,3.865575,19.5994,20.045,0.2901,8
8.0,8.0,25.8168,0.1929,4.9502875,23.6006,20.12,0.3051125,8
9.0,9.0,25.81204285714286,0.21977142857142856,5.662771428571429,26.2733,20.12,0.30622857142857146,7
10.0,10.0,25.805785714285715,0.2465142857142857,6.354100000000001,30.3514,20.12,0.31049999999999994,7
11.0,11.0,25.8,0.2781,7.2164375,34.5523,20.12,0.3187125,8
12.0,12.0,25.7910125,0.3282,8.4298875,38.8454,20.12,0.334525,8
13.0,13.0,25.786337500000002,0.3519,9.0769875,43.2845,20.12,0.3347375,8
14.0,14.0,25.7797,0.3897,10.0647,47.7389,20.12,0.33976249999999997,8
15.0,15.0,25.7746125,0.41910000000000003,10.736575,52.1242,20.12,0.340775,8
20.0,20.0,25.7398625,0.5946,15.222725,74.8032,20.13625,0.37048749999999997,8
25.0,25.0,25.7097625,0.7569,19.438875,96.5376,20.20125,0.3888125,8
30.0,30.0,25.6796875,0.912,23.4189,116.736,20.25,0.4036375,8
35.0,35.0,25.652685714285717,1.0381714285714285,26.762685714285713,129.1622,20.25,0.4121428571428571,7
40.0,40.0,25.6304875,1.1754,30.1912125,144.8602,20.25,0.429225,8
45.0,45.0,25.6047,1.2957,33.370125,158.6611,20.25,0.437775,8
50.0,50.0,25.59805,1.3419,34.4335625,168.9216,20.25,0.4343625,8
55.0,55.0,25.5785125,1.4217,36.4833625,176.7475,20.25,0.437275,8
60.0,60.0,25.5695375,1.4637,37.558324999999996,183.0144,20.25,0.4338625,8
65.0,65.0,25.5761625,1.4442,36.9289125,185.8022,20.25,0.435375,8
70.0,70.0,25.572675,1.4838,37.488037500000004,185.3107,20.25,0.4248,8
75.0,75.0,25.5757625,1.443,36.899825,182.6918,20.25,0.4109,8
80.0,80.0,25.585549999999998,1.3737,35.3670625,178.56,20.25,0.3992125,8
85.0,85.0,25.599557142857144,1.3446857142857145,34.40278571428571,163.0464,20.25,0.3889,7
86.0,86.0,25.606250000000003,1.3016999999999999,33.238025,158.5536,20.25,0.379975,8
87.0,87.0,25.6082,1.2449999999999999,32.347387499999996,156.8563,20.25,0.380575,8
88.0,88.0,25.619525,1.2714,32.4506375,155.689,20.25,0.3703875,8
89.0,89.0,25.612125,1.2492,31.6759125,153.8304,20.25,0.3692,8
90.0,90.0,25.6207125,1.2381,31.7025625,152.5862,20.25,0.36315000000000003,8
91.0,91.0,25.6234375,1.2138,31.0797625,151.68,20.25,0.360325,8
92.0,92.0,25.6281125,1.1757,29.9093375,149.7139,20.25,0.357625,8
93.0,93.0,25.624975,1.1376,29.687762499999998,148.0474,20.265,0.354275,8
94.0,94.0,25.6317,1.1674285714285715,29.9276,138.9926,20.335714285714285,0.3497571428571429,7
95.0,95.0,25.637485714285713,1.1424,29.351300000000002,139.4765,20.37,0.36438571428571426,7
96.0,96.0,25.635925,1.1415,29.404062500000002,139.6685,20.37,0.3437,8
97.0,97.0,25.6316375,1.1289,29.25815,139.8374,20.37,0.3454125,8
98.0,98.0,25.6328125,1.1742,30.06,143.232,20.37,0.3474375,8
99.0,99.0,25.632424999999998,1.1388,29.0742625,143.5392,20.37,0.340275,8
99.8,99.8,25.6449375,1.1469,28.844625,141.8803,20.37,0.342475,8
