Host_Timestamp,Timestamp_ms,SetDutyCycle,InAveragingWindow,MeasuredDutyCycle,TargetDutyCycle,Voltage,Current,Power,Energy,Temperature,MotorCurrent
1772101534.281701,8088.0,0.0,False,0.0,0.0,25.8563,-0.0024,0.0773,0.0077,21.12,0.2264
1772101534.5387852,8343.0,0.0,False,0.0,0.0,25.8563,0.0,0.0192,0.0307,21.12,0.224
1772101534.794955,8597.0,0.0,False,0.0,0.0,25.8563,-0.0024,0.0384,0.0538,21.12,0.2256
1772101535.0505147,8851.0,0.0,False,0.0,0.0,25.8594,-0.0024,0.1354,0.0768,21.12,0.2232
1772101535.303583,9105.0,0.0,False,0.0,0.0,25.8563,-0.0024,0.0581,0.0998,21.12,0.2281
1772101535.5573826,9360.0,0.0,False,0.0,0.0,25.8563,0.0,0.0192,0.1229,21.12,0.2256
1772101535.8130567,9615.0,0.0,False,0.0,0.0,25.8563,0.0072,0.155,0.1459,21.12,0.224
1772101536.0591745,9869.0,0.0,False,0.0,0.0,25.8563,0.0072,0.1939,0.169,21.12,0.2256
1772101536.3233187,10124.0,0.0,False,0.0,0.0,25.8563,0.0072,0.0581,0.1843,21.12,0.2248
1772101536.5750098,10379.0,0.0,False,0.0,0.0,25.8563,0.0,0.0192,0.2074,21.12,0.2256
1772101536.832655,10633.0,0.0,False,0.0,0.0,25.8563,0.0,0.0192,0.2304,21.12,0.2248
1772101537.0794933,10887.0,0.0,False,0.0,0.0,25.8563,-0.0048,0.0965,0.2458,21.12,0.2281
1772101537.3349097,11141.0,0.0,True,0.0,0.0,25.8563,0.0,0.0773,0.2688,21.12,0.2248
1772101537.5928118,11395.0,0.0,True,0.0,0.0,25.8563,0.0072,0.155,0.2995,21.12,0.2248
1772101537.8418686,11649.0,0.0,True,0.0,0.0,25.8563,0.0024,0.0384,0.3149,21.12,0.224
1772101538.1016922,11903.0,0.0,True,0.0,0.0,25.8563,0.0024,0.0773,0.3379,21.12,0.2224
1772101538.3559546,12157.0,0.0,True,0.0,0.0,25.8563,-0.0072,0.1939,0.361,21.12,0.2264
1772101538.6100125,12412.0,0.0,True,0.0,0.0,25.8594,0.0,0.0192,0.3763,21.12,0.2248
1772101538.8595333,12667.0,0.0,True,0.0,0.0,25.8563,0.0024,0.0773,0.3994,21.12,0.2248
1772101539.1179342,12921.0,0.0,True,0.0,0.0,25.8563,-0.0024,0.0773,0.4224,21.12,0.2264
1772101539.3743434,13175.0,1.0,False,1.0,1.0,25.8531,0.012,0.3101,0.0691,21.12,0.3054
1772101539.6202316,13429.0,1.0,False,1.0,1.0,25.8531,0.0168,0.5232,0.2074,21.12,0.307
1772101539.8817418,13683.0,1.0,False,1.0,1.0,25.8531,0.0192,0.4843,0.3456,21.12,0.3086
1772101540.1309102,13937.0,1.0,False,1.0,1.0,25.8531,0.0192,0.5232,0.4838,21.12,0.3086
1772101540.3865356,14192.0,1.0,False,1.0,1.0,25.85,0.0168,0.601,0.6298,21.12,0.307
1772101540.6420534,14446.0,1.0,False,1.0,1.0,25.8531,0.0168,0.4262,0.768,21.12,0.3086
1772101540.898158,14701.0,1.0,False,1.0,1.0,25.8531,0.012,0.2904,0.9062,21.12,0.3086
1772101541.1462812,14955.0,1.0,False,1.0,1.0,25.8531,0.0288,0.7171,1.0445,21.12,0.3078
1772101541.4017377,15209.0,1.0,False,1.0,1.0,25.8531,0.0264,0.2904,1.1904,21.12,0.3336
1772101541.658026,15463.0,1.0,False,1.0,1.0,25.8531,0.0192,0.5232,1.3363,21.12,0.3135
1772101541.9141178,15717.0,1.0,False,1.0,1.0,25.8531,0.0144,0.3874,1.4822,21.12,0.3159
1772101542.1706245,15971.0,1.0,False,1.0,1.0,25.8531,0.024,0.6202,1.6205,21.12,0.3086
1772101542.425039,16226.0,1.0,True,1.0,1.0,25.8531,0.0336,0.853,1.7741,21.12,0.3175
1772101542.6716087,16480.0,1.0,True,1.0,1.0,25.8531,0.024,0.601,1.9123,21.12,0.3151
1772101542.9250774,16734.0,1.0,True,1.0,1.0,25.8531,0.0192,0.504,2.0582,21.12,0.3159
1772101543.180536,16989.0,1.0,True,1.0,1.0,25.8531,0.0216,0.8333,2.2042,21.12,0.3175
1772101543.4436939,17244.0,1.0,True,1.0,1.0,25.8531,0.0264,0.6782,2.3578,21.12,0.3167
1772101543.6929545,17498.0,1.0,True,1.0,1.0,25.8531,0.024,0.6202,2.5114,21.12,0.3175
1772101543.94251,17752.0,1.0,True,1.0,1.0,25.8531,0.0264,0.659,2.6573,21.12,0.3248
1772101544.1994007,18007.0,1.0,True,1.0,1.0,25.8531,0.0168,0.407,2.8109,21.12,0.3167
1772101544.4593413,18262.0,2.0,False,2.0,2.0,25.8531,0.0408,1.0469,0.1536,21.12,0.2522
1772101544.7065766,18516.0,2.0,False,2.0,2.0,25.8531,0.0384,1.008,0.3456,21.12,0.2393
