SetDutyCycle,MeasuredDutyCycle,Voltage_V,Current_A,Power_W,Energy_J,Temperature_C,MotorCurrent_A,SamplesCount
0.0,0.0,25.8566875,0.0006,0.0894625,0.4224,21.12,0.2248,8
1.0,1.0,25.8531,0.024,0.6444625,2.8109,21.12,0.3177125,8
2.0,2.0,25.85,0.0336,0.9259000000000001,4.3085,21.12,0.2822857142857143,7
3.0,3.0,25.847342857142856,0.052457142857142855,1.4043428571428571,6.4358,21.12,0.2707857142857143,7
4.0,4.0,25.843,0.07289999999999999,1.8522125,9.1392,21.12,0.281625,8
5.0,5.0,25.83905,0.10200000000000001,2.5887625,12.119,21.12,0.2874,8
6.0,6.0,25.833187499999998,0.126,3.2784,15.4522,21.12,0.292725,8
7.0,7.0,25.8292625,0.1473,3.7927375,19.1386,21.12,0.2920125,8
8.0,8.0,25.825,0.1701,4.3886375,23.0246,21.12,0.2926375,8
9.0,9.0,25.8156375,0.2172,5.6262,26.9568,21.12,0.3131625,8
10.0,10.0,25.812028571428574,0.24137142857142857,6.209071428571428,29.783,21.12,0.3146285714285714,7
11.0,11.0,25.803525,0.2745,7.1307625,34.007,21.12,0.321525,8
12.0,12.0,25.7922,0.3405,8.828375,38.0621,21.12,0.3405875,8
13.0,13.0,25.794150000000002,0.3375,8.697725,42.4243,21.12,0.328175,8
14.0,14.0,25.7855625,0.3741,9.645775,47.0093,21.12,0.33545,8
15.0,15.0,25.7801,0.4035,10.4035125,51.456,21.12,0.3387625,8
20.0,20.0,25.7464625,0.5841000000000001,14.9646,73.7126,21.12,0.366475,8
25.0,25.0,25.714875,0.7443,19.0912125,95.4317,21.12,0.3875375,8
30.0,30.0,25.6816375,0.9141,23.3911875,115.7683,21.12,0.4039625,8
35.0,35.0,25.65625714285714,1.0529142857142857,27.0115,127.6109,21.12,0.4211285714285714,7
40.0,40.0,25.6335875,1.1712,29.808699999999998,142.9325,21.12,0.4293375,8
45.0,45.0,25.616025,1.2576,32.21365,154.8595,21.12,0.431325,8
50.0,50.0,25.59845,1.332,34.1677375,164.3827,21.12,0.4331375,8
55.0,55.0,25.591425,1.3638,34.909325,171.3792,21.12,0.432825,8
60.0,60.0,25.5879125,1.413,36.3768125,176.3021,21.12,0.430225,8
65.0,65.0,25.5875125,1.3833,35.3946125,178.0915,21.12,0.4260125,8
70.0,70.0,25.5828125,1.419,36.578575,177.623,21.12,0.414625,8
75.0,75.0,25.5914125,1.3842,35.5816875,176.0102,21.12,0.4066625,8
80.0,80.0,25.603128571428574,1.3224,33.85384285714286,164.0755,21.12,0.39315714285714287,7
85.0,85.0,25.615637500000002,1.2801,32.7774125,157.6704,21.12,0.381875,8
86.0,86.0,25.611725,1.2399,31.8175125,154.9594,21.12,0.3769375,8
87.0,87.0,25.626575,1.221,30.6429625,153.216,21.12,0.374125,8
88.0,88.0,25.619925000000002,1.2081,31.1221875,152.8934,21.12,0.3686875,8
89.0,89.0,25.627325,1.23,31.5065375,150.9427,21.12,0.3645625,8
90.0,90.0,25.624200000000002,1.2108,30.7407,150.1824,21.12,0.36265000000000003,8
91.0,91.0,25.62695,1.1637,29.796425,149.6218,21.12,0.360825,8
92.0,92.0,25.635714285714283,1.1722285714285714,29.9939,141.2352,21.12,0.3567714285714286,7
93.0,93.0,25.639742857142856,1.1910857142857143,30.523357142857144,140.183,21.138571428571428,0.3543428571428571,7
94.0,94.0,25.6406375,1.1286,28.842299999999998,140.0986,21.13625,0.3480375,8
95.0,95.0,25.639075,1.1141999999999999,28.9016375,139.945,21.1525,0.346425,8
96.0,96.0,25.642575,1.1457,29.1677,139.968,21.185000000000002,0.347925,8
97.0,97.0,25.640237499999998,1.1733,29.994725,142.7174,21.23375,0.35175,8
98.0,98.0,25.6363125,1.1472,28.999312500000002,147.095,21.2175,0.3524625,8
99.0,99.0,25.640625,1.1118,28.221,144.8832,21.25,0.34602499999999997,8
99.8,99.8,25.63527142857143,1.1317714285714284,29.03087142857143,142.3642,21.231428571428573,0.3454714285714286,7
