SetDutyCycle,MeasuredDutyCycle,Voltage_V,Current_A,Power_W,Energy_J,Temperature_C,MotorCurrent_A,SamplesCount,Dyno_RPM,Car_RPM,Dyno_Torque_Nm,Dyno_Power_W,DynoSamplesCount
0.0,0.0,27.7199625,0.0006000000000000001,0.10885,0.4608,21.87,0.225,8,0.0,0.0,0.0,0.0,2
1.0,1.0,27.717885714285718,0.022285714285714287,0.5966714285714286,3.3101,21.81857142857143,0.36864285714285716,7,0.0,0.0,0.517,0.0,2
2.0,2.0,27.712887499999997,0.0837,2.3276,10.8134,21.795,0.5537375,8,0.0,0.0,2.004,0.0,2
3.0,3.0,27.7058125,0.1626,4.4974125,21.7958,21.84,0.7051125,8,0.0,0.0,3.169,0.0,2
4.0,4.0,27.6934,0.2973,8.247275,39.8362,21.87,0.9387125,8,0.0,0.0,4.368,0.0,2
5.0,5.0,27.675775,0.4773,13.139800000000001,64.0282,21.87,1.185625,8,0.0,0.0,5.7645,0.0,2
6.0,6.0,27.6597875,0.6378,17.63695,85.847,21.87,1.3089250000000001,8,0.0,0.0,6.4735,0.0,2
7.0,7.0,27.6453125,0.7779,21.6437375,101.8214,21.87,1.3558375,8,3.2,3.4,6.575,2.245,2
8.0,8.0,27.6324625,0.8658,23.987325,121.3978,21.87,1.3255625,8,4.800000000000001,5.1,6.621,3.335,2
9.0,9.0,27.623425,0.9225,25.436875,131.5891,22.0,1.24615,8,9.6,10.21,6.2645,6.295,2
10.0,10.0,27.610728571428574,1.0330285714285714,28.522014285714285,140.1523,22.0,1.232257142857143,7,12.8,13.614999999999998,6.250500000000001,8.379999999999999,2
11.0,11.0,27.595725,1.1577,32.0127,155.2435,22.0,1.249175,8,15.99,17.01,6.2905,10.535,2
12.0,12.0,27.5816125,1.2864,35.2503625,169.6512,22.060000000000002,1.2560375,8,17.6,18.72,6.372999999999999,11.745000000000001,2
13.0,13.0,27.5672,1.4082000000000001,38.8331875,185.687,22.12,1.254425,8,20.79,22.115000000000002,6.337,13.805,2
