SetDutyCycle,MeasuredDutyCycle,Voltage_V,Current_A,Power_W,Energy_J,Temperature_C,MotorCurrent_A,SamplesCount,Dyno_RPM,Car_RPM,Dyno_Torque_Nm,Dyno_Power_W,DynoSamplesCount
0.0,0.0,28.084787499999997,-0.0021,0.098775,0.4454,23.12,0.22491250000000002,8,0.0,0.0,0.0005,0.0,2
1.0,1.0,28.083599999999997,0.0201,0.577325,3.1258,23.12,0.35155,8,0.0,0.0,-0.0055,0.0,2
2.0,2.0,28.078487499999998,0.081,2.304075,11.2512,23.12,0.5505,8,0.0,0.0,1.211,0.0,2
3.0,3.0,28.069187499999998,0.1827,5.1334375,25.728,23.12,0.7808,8,0.0,0.0,2.8099999999999996,0.0,2
4.0,4.0,28.059842857142858,0.2948571428571429,8.2717,39.3062,23.12,0.9161571428571429,7,0.0,0.0,3.8810000000000002,0.0,2
5.0,5.0,28.0469,0.4371,12.2076625,58.3066,23.12,1.079975,8,0.0,0.0,5.248,0.0,2
6.0,6.0,28.033625,0.5775,16.180975,75.7862,23.12,1.1906625,8,1.6,1.7,5.814500000000001,0.975,2
7.0,7.0,28.027324999999998,0.6177,17.343075,88.9882,23.12,1.070375,8,4.800000000000001,5.1,5.516500000000001,2.765,2
8.0,8.0,28.015987499999998,0.7233,20.272575,98.6419,23.12,1.074825,8,9.6,10.21,5.5115,5.54,2
9.0,9.0,28.006675,0.8103,22.6772375,110.4998,23.12,1.0563875,8,12.79,13.61,5.422499999999999,7.265,2
10.0,10.0,27.997275000000002,0.8928,25.2477625,123.8246,23.2175,1.05205,8,15.996666666666668,17.01666666666667,5.340333333333334,8.946666666666667,3
11.0,11.0,27.9847875,0.9996,27.7027875,137.856,23.25,1.0624375,8,19.19,20.41,5.3134999999999994,10.675,2
12.0,12.0,27.974612500000003,1.083,30.3397875,151.703,23.25,1.0407625,8,22.39,23.82,5.292,12.41,2
13.0,13.0,27.966528571428572,1.1790857142857143,33.07584285714286,156.9715,23.25,1.0465714285714285,7,25.59,27.22,5.254,14.08,2
14.0,14.0,27.953487499999998,1.266,35.47215,171.7709,23.25,1.0582,8,28.79,30.62,5.249,15.825,2
15.0,15.0,27.9445625,1.341,37.6067375,184.9728,23.265,1.0268625,8,30.916666666666668,32.89,5.251,17.003333333333334,3
20.0,20.0,27.900025,1.8348,51.1819875,258.6931,23.37,1.0323875,8,46.379999999999995,49.335,5.204000000000001,25.270000000000003,2
25.0,25.0,27.8468875,2.4053999999999998,67.734225,328.4122,23.37,1.082275,8,59.17,62.94500000000001,5.180999999999999,32.1,2
30.0,30.0,27.8031125,2.7978,77.7813625,396.6336,23.38625,1.0672625,8,75.16,79.96000000000001,5.175000000000001,40.735,2
35.0,35.0,27.7543,3.2478,90.1404,464.3251,23.5,1.0677625,8,91.15,96.97,5.1875,49.519999999999996,2
40.0,40.0,27.708928571428572,3.648342857142857,101.81821428571428,504.768,23.5,1.0589,7,105.55,112.28000000000002,5.2026666666666666,57.5,3
45.0,45.0,27.6643,4.0525714285714285,112.12244285714287,565.5322,23.602857142857143,1.0528142857142857,7,118.34,125.89,5.2315000000000005,64.83000000000001,2
50.0,50.0,27.6172,4.5021,123.9667125,623.1552,23.62,1.0849875,8,134.33,142.905,5.247,73.815,2
55.0,55.0,27.5695125,5.0043,137.0115,680.5248,23.75,1.1006125,8,148.72,158.21499999999997,5.288,82.35499999999999,2
60.0,60.0,27.5211125,5.3688,148.451325,736.7885,23.855,1.1114875,8,163.20499999999998,173.625,5.316,90.855,2
65.0,65.0,27.481637499999998,5.7477,157.662125,790.6714,23.87,1.115925,8,178.04333333333332,189.40666666666667,5.354,99.82333333333334,3
70.0,70.0,27.4312625,6.207,168.7767125,844.247,24.0,1.14705,8,191.9,204.15,5.3895,108.31,2
75.0,75.0,27.392975,6.4155,175.72645,897.8458,24.0,1.1384750000000001,8,206.29,219.45999999999998,5.432,117.35,2
80.0,80.0,27.3269375,7.1535,194.9755625,950.4,24.12,1.185725,8,220.69,234.77,5.4905,126.88499999999999,2
85.0,85.0,27.30314285714286,7.107085714285715,193.6527,954.3398,24.25,1.1491428571428572,7,235.07999999999998,250.08499999999998,5.547000000000001,136.56,2
86.0,86.0,27.279899999999998,7.360114285714286,200.07262857142857,944.8243,24.37,1.1650571428571428,7,237.74666666666667,252.91666666666666,5.599666666666667,139.41333333333333,3
89.0,89.0,27.264075,7.4721,201.7977125,996.7027,24.37,1.16135,8,246.27,261.99,5.6535,145.805,2
92.0,92.0,27.216,7.7466,212.668575,1031.2243,24.5,1.1908750000000001,8,254.40999999999997,270.65,5.71,152.12,2
95.0,95.0,27.1867375,7.9323,216.3639625,1073.3184,24.62,1.1915624999999999,8,262.405,279.155,5.782,158.885,2
98.0,98.0,27.1359375,8.3979,227.875625,1120.9498,24.6525,1.21715,8,270.26,287.51,5.837,165.195,2
99.8,99.8,27.0980375,8.7081,236.0337375,1148.4134,24.75,1.221375,8,276.12666666666667,293.75333333333333,5.890333333333333,170.32333333333335,3
