CH_1_s,CH_1_mv,
-0.000140000,-0.600,
-0.000139992,-0.600,
-0.000139984,-0.800,
-0.000139976,-0.600,
-0.000139968,-0.600,
-0.000139960,-0.800,
-0.000139952,-0.800,
-0.000139944,-0.600,
-0.000139936,-0.600,
-0.000139928,-0.600,
-0.000139920,-0.600,
-0.000139912,-0.800,
-0.000139904,-0.600,
-0.000139896,-0.800,
-0.000139888,-0.800,
-0.000139880,-0.600,
-0.000139872,-0.600,
-0.000139864,-0.600,
-0.000139856,-0.800,
-0.000139848,-0.600,
-0.000139840,-0.600,
-0.000139832,-0.800,
-0.000139824,-0.600,
-0.000139816,-0.800,
-0.000139808,-0.800,
-0.000139800,-0.600,
-0.000139792,-0.800,
-0.000139784,-0.600,
-0.000139776,-0.600,
-0.000139768,-0.600,
-0.000139760,-0.600,
-0.000139752,-0.800,
-0.000139744,-0.600,
-0.000139736,-0.600,
-0.000139728,-0.600,
-0.000139720,-0.600,
-0.000139712,-0.800,
-0.000139704,-0.600,
-0.000139696,-0.800,
-0.000139688,-0.800,
-0.000139680,-0.600,
-0.000139672,-0.600,
-0.000139664,-0.800,
-0.000139656,-0.600,
-0.000139648,-0.600,
-0.000139640,-0.600,
-0.000139632,-0.800,
-0.000139624,-0.800,
-0.000139616,-0.600,
-0.000139608,-0.600,
-0.000139600,-0.600,
-0.000139592,-0.600,
-0.000139584,-0.400,
-0.000139576,-0.600,
-0.000139568,-0.600,
-0.000139560,-0.600,
-0.000139552,-0.600,
-0.000139544,-0.600,
-0.000139536,-0.800,
-0.000139528,-0.600,
-0.000139520,-0.600,
-0.000139512,-0.800,
-0.000139504,-0.600,
-0.000139496,-0.600,
-0.000139488,-0.800,
-0.000139480,-0.600,
-0.000139472,-0.600,
-0.000139464,-0.800,
-0.000139456,-0.800,
-0.000139448,-0.800,
-0.000139440,-0.800,
-0.000139432,-0.800,
-0.000139424,-0.600,
-0.000139416,-0.800,
-0.000139408,-0.600,
-0.000139400,-0.800,
-0.000139392,-0.800,
-0.000139384,-0.600,
-0.000139376,-0.600,
-0.000139368,-0.600,
-0.000139360,-0.600,
-0.000139352,-0.600,
-0.000139344,-0.600,
-0.000139336,-0.800,
-0.000139328,-0.600,
-0.000139320,-0.600,
-0.000139312,-0.800,
-0.000139304,-0.600,
-0.000139296,-0.600,
-0.000139288,-0.600,
-0.000139280,-0.600,
-0.000139272,-0.800,
-0.000139264,-0.800,
-0.000139256,-0.800,
-0.000139248,-0.600,
-0.000139240,-0.800,
-0.000139232,-0.600,
-0.000139224,-0.600,
-0.000139216,-0.800,
-0.000139208,-0.600,
