CH_4_s,CH_4_mv,
-0.000140000,-254.000,
-0.000139992,-254.000,
-0.000139984,-254.000,
-0.000139976,-254.000,
-0.000139968,-254.000,
-0.000139960,-254.000,
-0.000139952,-254.000,
-0.000139944,-254.000,
-0.000139936,-254.000,
-0.000139928,-254.000,
-0.000139920,-254.000,
-0.000139912,-254.000,
-0.000139904,-254.000,
-0.000139896,-254.000,
-0.000139888,-254.000,
-0.000139880,-254.000,
-0.000139872,-254.000,
-0.000139864,-254.000,
-0.000139856,-254.000,
-0.000139848,-254.000,
-0.000139840,-254.000,
-0.000139832,-254.000,
-0.000139824,-254.000,
-0.000139816,-254.000,
-0.000139808,-254.000,
-0.000139800,-254.000,
-0.000139792,-254.000,
-0.000139784,-254.000,
-0.000139776,-254.000,
-0.000139768,-254.000,
-0.000139760,-254.000,
-0.000139752,-254.000,
-0.000139744,-254.000,
-0.000139736,-254.000,
-0.000139728,-254.000,
-0.000139720,-254.000,
-0.000139712,-254.000,
-0.000139704,-254.000,
-0.000139696,-254.000,
-0.000139688,-254.000,
-0.000139680,-254.000,
-0.000139672,-254.000,
-0.000139664,-254.000,
-0.000139656,-254.000,
-0.000139648,-254.000,
-0.000139640,-254.000,
-0.000139632,-254.000,
-0.000139624,-254.000,
-0.000139616,-254.000,
-0.000139608,-254.000,
-0.000139600,-254.000,
-0.000139592,-254.000,
-0.000139584,-254.000,
-0.000139576,-254.000,
-0.000139568,-254.000,
-0.000139560,-254.000,
-0.000139552,-254.000,
-0.000139544,-254.000,
-0.000139536,-254.000,
-0.000139528,-254.000,
-0.000139520,-254.000,
-0.000139512,-254.000,
-0.000139504,-254.000,
-0.000139496,-254.000,
-0.000139488,-254.000,
-0.000139480,-254.000,
-0.000139472,-254.000,
-0.000139464,-254.000,
-0.000139456,-254.000,
-0.000139448,-254.000,
-0.000139440,-254.000,
-0.000139432,-254.000,
-0.000139424,-254.000,
-0.000139416,-254.000,
-0.000139408,-254.000,
-0.000139400,-254.000,
-0.000139392,-254.000,
-0.000139384,-254.000,
-0.000139376,-254.000,
-0.000139368,-254.000,
-0.000139360,-254.000,
-0.000139352,-254.000,
-0.000139344,-254.000,
-0.000139336,-254.000,
-0.000139328,-254.000,
-0.000139320,-254.000,
-0.000139312,-254.000,
-0.000139304,-254.000,
-0.000139296,-254.000,
-0.000139288,-254.000,
-0.000139280,-254.000,
-0.000139272,-254.000,
-0.000139264,-254.000,
-0.000139256,-254.000,
-0.000139248,-254.000,
-0.000139240,-254.000,
-0.000139232,-254.000,
-0.000139224,-254.000,
-0.000139216,-254.000,
-0.000139208,-254.000,
-0.000139200,-254.000,
-0.000139192,-254.000,
-0.000139184,-254.000,
-0.000139176,-254.000,
-0.000139168,-254.000,
-0.000139160,-254.000,
-0.000139152,-254.000,
-0.000139144,-254.000,
-0.000139136,-254.000,
-0.000139128,-254.000,
-0.000139120,-254.000,
-0.000139112,-254.000,
-0.000139104,-254.000,
-0.000139096,-254.000,
-0.000139088,-254.000,
-0.000139080,-254.000,
-0.000139072,-254.000,
-0.000139064,-254.000,
-0.000139056,-254.000,
-0.000139048,-254.000,
-0.000139040,-254.000,
-0.000139032,-254.000,
-0.000139024,-254.000,
-0.000139016,-254.000,
-0.000139008,-254.000,
-0.000139000,-254.000,
-0.000138992,-254.000,
-0.000138984,-254.000,
-0.000138976,-254.000,
-0.000138968,-254.000,
-0.000138960,-254.000,
-0.000138952,-254.000,
-0.000138944,-254.000,
-0.000138936,-254.000,
-0.000138928,-254.000,
-0.000138920,-254.000,
-0.000138912,-254.000,
-0.000138904,-254.000,
-0.000138896,-254.000,
-0.000138888,-254.000,
-0.000138880,-254.000,
-0.000138872,-254.000,
-0.000138864,-254.000,
-0.000138856,-254.000,
-0.000138848,-254.000,
-0.000138840,-254.000,
-0.000138832,-254.000,
-0.000138824,-254.000,
-0.000138816,-254.000,
-0.000138808,-254.000,
-0.000138800,-254.000,
-0.000138792,-254.000,
-0.000138784,-254.000,
-0.000138776,-254.000,
-0.000138768,-254.000,
-0.000138760,-254.000,
-0.000138752,-254.000,
-0.000138744,-254.000,
-0.000138736,-254.000,
-0.000138728,-254.000,
-0.000138720,-254.000,
-0.000138712,-254.000,
-0.000138704,-254.000,
-0.000138696,-254.000,
-0.000138688,-254.000,
-0.000138680,-254.000,
-0.000138672,-254.000,
-0.000138664,-254.000,
-0.000138656,-254.000,
-0.000138648,-254.000,
-0.000138640,-254.000,
-0.000138632,-254.000,
-0.000138624,-254.000,
-0.000138616,-254.000,
-0.000138608,-254.000,
-0.000138600,-254.000,
-0.000138592,-254.000,
-0.000138584,-254.000,
-0.000138576,-254.000,
-0.000138568,-254.000,
-0.000138560,-254.000,
-0.000138552,-254.000,
-0.000138544,-254.000,
-0.000138536,-254.000,
-0.000138528,-254.000,
