Voltage,Current,Power,Energy,Temperature,MotorVoltage,MotorCurrent,MeasuredDutyCycle,TargetDutyCycle,WheelSpeed,Phase,Repeat,CurrentLimit_A,Timestamp_s,Dyno_Timestamp_ms,Dyno_Speed_kmh,Car_Speed_kmh,Dyno_Torque_Nm,Dyno_Power_W
28.244,0.079,2.254,1987.476,17.87,0.264,3.8414,0.0,0.0,0.0,Accelerating,1.0,25.0,0.11753678321838379,,,,,
28.244,0.067,1.915,1987.699,17.87,0.878,4.192,0.0,0.0,0.0,Accelerating,1.0,25.0,0.24315881729125977,,,,,
28.244,0.072,2.063,1987.907,17.87,-0.111,3.8644,0.0,0.0,0.0,Accelerating,1.0,25.0,0.28787708282470703,,,,,
28.244,0.065,1.851,0.1,17.87,0.204,3.8529,0.0,0.0,0.0,Accelerating,1.0,25.0,0.3274381160736084,,,,,
28.241,0.242,6.845,0.415,18.0,2.512,5.2439,5.0,100.0,0.0,Accelerating,1.0,25.0,0.3751547336578369,,,,,
28.138,2.688,75.645,3.333,17.87,4.251,21.9129,16.0,100.0,0.0,Accelerating,1.0,25.0,0.4094715118408203,,,,,
28.075,4.046,113.612,13.486,18.0,7.473,23.2004,27.0,100.0,0.0,Accelerating,1.0,25.0,0.4733703136444092,,,,,
28.025,4.843,135.799,26.542,18.0,8.538,23.0912,37.0,100.0,0.0,Accelerating,1.0,25.0,0.530526876449585,,,,,
28.016,5.376,150.517,42.086,18.12,9.947,23.2004,48.0,100.0,0.0,Accelerating,1.0,25.0,0.6146275997161865,,,,,
27.95,7.03,196.464,61.01,18.12,9.452,23.2004,59.0,100.0,0.0,Accelerating,1.0,25.0,0.7083113193511963,,,,,
27.903,8.1,226.048,82.007,18.12,10.756,21.4128,69.0,100.0,0.0,Accelerating,1.0,25.0,0.8163044452667236,,,,,
27.884,7.716,215.199,106.982,18.25,10.456,23.2004,80.0,100.0,0.0,Accelerating,1.0,25.0,0.9217867851257324,,,,,
27.812,11.674,268.596,135.191,18.37,13.514,23.2004,90.0,100.0,0.0,Accelerating,1.0,25.0,1.02535080909729,,,,,
27.741,13.229,367.017,165.028,18.5,14.773,22.4072,100.0,100.0,0.0,Accelerating,1.0,25.0,1.1351890563964844,,,,,
27.728,10.682,296.466,198.559,18.62,19.33,21.7634,100.0,100.0,0.0,Accelerating,1.0,25.0,1.2360975742340088,,,,,
27.678,12.751,352.931,234.132,18.75,16.991,23.1315,100.0,100.0,0.0,Accelerating,1.0,25.0,1.345827341079712,,,,,
27.622,14.359,396.687,272.41,18.87,17.606,21.66,100.0,100.0,3.179,Accelerating,1.0,25.0,1.452394962310791,,,,,
27.647,12.086,365.785,312.246,19.12,15.972,19.8551,100.0,100.0,3.179,Accelerating,1.0,25.0,1.554366111755371,,,,,
27.616,13.625,376.254,352.366,19.12,16.407,19.1309,100.0,100.0,3.179,Accelerating,1.0,25.0,1.6640748977661133,,,,,
27.534,15.845,436.632,395.274,19.25,21.503,22.2463,100.0,100.0,3.179,Accelerating,1.0,25.0,1.768240213394165,,,,,
,,,,,,,,,,,,,1.7793617248535156,1782.0,1.8375639999999998,1.954516,4.77,10.36
27.575,14.174,390.901,437.123,19.37,21.668,18.0043,100.0,100.0,3.179,Accelerating,1.0,25.0,1.9023022651672363,,,,,
27.578,14.698,405.337,480.653,19.5,23.871,23.2004,100.0,100.0,3.179,Accelerating,1.0,25.0,1.9865541458129883,,,,,
27.522,16.166,444.952,525.089,19.5,23.901,15.3372,100.0,100.0,3.179,Accelerating,1.0,25.0,2.0951075553894043,,,,,
27.566,14.34,395.529,568.128,19.62,23.167,13.268,100.0,100.0,3.179,Accelerating,1.0,25.0,2.1968259811401367,,,,,
27.581,14.412,397.456,609.423,19.62,24.531,22.5452,100.0,100.0,3.179,Accelerating,1.0,25.0,2.2957749366760254,,,,,
27.547,13.462,370.801,653.238,19.62,25.28,21.8554,100.0,100.0,3.179,Accelerating,1.0,25.0,2.407527208328247,,,,,
